1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q3,1473791,2871,103437,0,13897,469528,13899,77121,178756,199752,4976,877379,118122,-116419,90906,51920,-300985,41740,1520596
1997:Q4,1488969,2640,106442,0,14238,480894,14243,77871,180398,208382,5360,843991,122308,-86904,92046,52847,-274569,42772,1536038
1998:Q1,1520068,2758,110893,0,14308,472200,14320,72248,175648,209984,5340,940549,137588,-163568,95951,55560,-358076,42997,1568078
1998:Q2,1551149,2872,115152,0,14356,461298,14383,67462,172346,207107,5333,910477,141002,-99341,93780,58248,-294536,43167,1600119
1998:Q3,1582207,2985,119113,0,14361,453449,14419,62277,167403,209350,5330,782228,135172,69569,89002,60807,-123471,43231,1632159
1998:Q4,1609961,3197,122885,0,14279,457570,14390,57247,162157,223776,4984,949139,156608,-98701,95114,60883,-297769,43071,1664200
1999:Q1,1631644,2640,119649,0,14456,472596,14656,61258,168252,228430,4985,934231,166351,-83264,94937,60481,-283671,44989,1687061
1999:Q2,1653317,2840,115859,0,14486,499175,14824,69067,176651,238633,4987,963493,176580,-124103,94760,59226,-325880,47791,1709922
1999:Q3,1674982,2991,111134,0,14333,518396,14870,76044,182552,244930,4988,862853,175421,-15134,89583,56901,-211753,50135,1732783
1999:Q4,1697919,3419,103181,0,13971,546603,14776,75893,192606,263328,4989,1006300,198960,-179504,91906,53359,-376726,51957,1755644
2000:Q1,1716712,3541,100533,0,12695,530498,13839,73413,187784,255462,4893,1111274,214224,-260946,94031,51417,-454190,47796,1773236
2000:Q2,1737558,3746,91708,0,10719,504534,12263,71437,179472,241362,4629,1091678,224427,-193883,90903,44945,-373002,43271,1790828
2000:Q3,1760455,4201,85236,0,8099,472271,10086,67182,171505,223498,4279,1123072,243785,-180488,90340,40198,-347068,36042,1808420
2000:Q4,1785405,4653,79471,0,4933,424170,7371,64220,155330,197249,3728,1075978,236373,-43901,86127,35969,-193582,27585,1826012
2001:Q1,1813912,4762,68292,0,6499,437989,9361,68685,170239,189704,4582,959239,189862,142687,79575,27770,2716,32626,1861615
2001:Q2,1850065,4902,61232,0,5347,428276,8567,67620,167336,184753,4498,1051388,180257,114165,79265,22592,-16822,29130,1897218
2001:Q3,1886092,5070,52995,0,4320,419020,7797,66279,163792,181152,4397,933449,163762,303079,66630,16551,193667,26231,1932821
2001:Q4,1921892,5260,44347,0,3467,403952,7077,63867,157088,175920,4353,1060684,180811,219018,72357,10208,111656,24797,1968424
2002:Q1,1934528,4939,41725,0,2759,402338,6146,62330,151288,182574,4527,1031113,211161,235966,75960,8685,131644,19677,1981591
2002:Q2,1949075,4974,39871,0,2713,413542,5820,59711,155179,192832,4489,927167,195241,361078,81198,6199,249617,24064,1994759
2002:Q3,1963297,5024,38335,0,2915,393868,5675,56935,147457,183801,4593,836265,177519,504778,78065,10901,390092,25720,2007927
2002:Q4,1978976,5054,38823,0,2839,367272,5657,51169,139195,171251,4568,917633,188763,454024,86406,5703,339673,22242,2021094
2003:Q1,1990564,5069,34558,0,3108,385775,5853,57454,145444,177024,4435,910899,169054,477666,84357,8675,359412,25222,2031885
2003:Q2,2002176,5086,37915,0,3394,402002,3144,63601,153153,182104,4332,1049641,187897,311909,95304,5724,185466,25415,2042676
2003:Q3,2012750,5102,35513,0,3603,416300,2927,60711,164183,188479,4363,1088177,186198,273494,94488,4370,153647,20989,2053467
2003:Q4,2022695,5122,41116,0,3933,440647,4793,65515,174763,195576,4495,1170758,197429,159195,105719,5677,28157,19642,2064258
2004:Q1,2058258,5132,38943,0,4174,442502,4632,62426,175792,199652,4551,1214714,207358,140884,96864,4515,18130,21375,2099970
2004:Q2,2094245,5151,30356,0,4689,441553,4662,62732,179028,195131,4511,1211148,215877,180960,100812,7958,44832,27358,2135682
2004:Q3,2129966,5169,32191,0,4896,434441,4819,59407,181700,188515,4481,1214093,210473,224222,88754,4096,108207,23165,2171394
2004:Q4,2166393,5190,36332,0,4370,430257,4491,58574,182465,184727,4401,1294157,233612,158074,94971,3690,34223,25190,2207105
2005:Q1,2187735,5214,34688,0,5188,435622,5062,59471,184657,186432,4327,1282236,232157,188303,93438,2660,68097,24108,2227925
2005:Q2,2208909,5243,38277,0,5126,441978,5052,60297,184256,192373,4260,1313670,238988,161367,90497,656,47210,23004,2248745
2005:Q3,2230046,5286,41703,0,5029,448963,5033,60714,186783,196433,4205,1365730,247404,111726,90016,2731,-2809,21788,2269565
2005:Q4,2251133,5329,41950,0,5066,464296,5104,60001,198545,200646,4181,1392796,253409,84106,88822,1785,-30193,23692,2290385
2006:Q1,2279270,10527,26805,53293,4670,513419,30602,103989,131578,247250,9368,1094386,288307,278495,82785,32823,5852,157035,2318298
2006:Q2,2307465,10725,26661,53585,4275,515691,31100,104206,130786,249599,14555,1057299,285682,338992,73556,33862,71195,160379,2346211
2006:Q3,2335627,10923,26516,53878,3879,536468,31598,108294,136524,260052,19742,1088685,295029,300507,66824,34900,35061,163722,2374125
2006:Q4,2364272,11121,26371,54171,3484,532238,32096,109263,137833,253046,24929,1150677,313167,248114,61385,35939,-16275,167065,2402038
2007:Q1,2397002,11312,27224,54279,3543,541441,33069,109763,141824,256785,25357,1165659,318640,249547,62312,36555,-19253,169933,2433813
2007:Q2,2429241,11503,28077,54386,3603,539599,34042,108127,142503,254927,25785,1235157,334619,196512,64597,37172,-78058,172801,2465589
2007:Q3,2460934,11694,28930,54494,3663,555627,35015,111185,147086,262341,26213,1251552,342140,186621,66107,37789,-92943,175668,2497365
2007:Q4,2494824,11884,29783,54602,3723,572308,35987,114498,151624,270199,26641,1209252,332601,254030,65438,38406,-28350,178536,2529140
2008:Q1,2513466,10832,28418,50815,3480,561153,34000,114007,148153,264993,24725,1083659,319500,430884,63073,42583,144142,181086,2548911
2008:Q2,2532441,9780,27053,47028,3237,530621,32013,106085,143867,248656,22810,1056669,328251,506992,63403,46760,213194,183635,2568682
2008:Q3,2551821,8727,25688,43241,2995,503619,30026,103080,131507,239006,20895,954886,302809,688961,60223,50937,391616,186185,2588453
2008:Q4,2572793,7675,24323,39454,2752,508839,28040,106448,131427,242924,18979,726129,258473,986169,54794,55115,687525,188735,2608224
2009:Q1,2582843,7018,25172,39545,2791,509955,28831,104505,118836,257783,18491,634501,241526,1103844,52204,53778,802432,195430,2619385
2009:Q2,2594080,6362,26022,39635,2830,525055,29623,101158,120257,274017,18003,726482,275279,974412,54554,52442,665291,202125,2630546
2009:Q3,2605164,5705,26871,39726,2868,545950,30415,103478,117711,294346,17515,830332,312288,823909,57371,51106,506611,208821,2641707
2009:Q4,2616253,5049,27720,39816,2907,549078,31207,102450,106467,308954,17027,863834,321936,788886,57617,49770,465983,215516,2652868
2010:Q1,2671019,5715,27665,38529,2848,563195,30960,106593,110541,315101,17320,916180,331277,768290,56638,53110,440704,217838,2707711
2010:Q2,2725783,6380,27610,37242,2789,587393,30713,114737,115353,326590,17613,813825,305194,927737,52243,56451,598883,220160,2762554
2010:Q3,2780593,7046,27555,35955,2730,609493,30466,120998,121759,336270,17906,906358,331565,841985,52740,59792,506972,222481,2817396
2010:Q4,2835398,7711,27500,34667,2671,607969,30219,120772,120555,336423,18199,1010665,348140,777876,52759,63132,437182,224803,2872238
2011:Q1,2863241,8154,27802,34582,2680,621687,30484,127499,120720,342984,17592,1052300,366295,732149,57263,63550,381223,230113,2900122
2011:Q2,2891080,8596,28105,34497,2689,645527,30750,137442,122617,354718,16984,1029207,371622,753853,60398,63968,394064,235423,2928005
2011:Q3,2918935,9039,28407,34412,2698,678631,31015,152892,124642,370082,16377,849932,333590,965849,59587,64386,601144,240732,2955888
2011:Q4,2946784,9482,28709,34327,2707,697151,31280,160857,126164,378850,15770,929506,356277,872855,64519,64804,497490,246042,2983772
2012:Q1,2964614,9221,27876,33330,2628,710604,30372,164120,121929,394183,15741,1041570,379377,744267,64941,61708,366427,251191,3001669
2012:Q2,2982444,8960,27042,32333,2550,737829,29464,174471,117855,416039,15713,1001280,358934,797803,61327,58612,421525,256339,3019565
2012:Q3,3000264,8700,26208,31337,2471,760374,28556,180858,115264,435696,15685,1054946,366169,734374,60426,55516,356944,261488,3037461
2012:Q4,3018087,8439,25375,30340,2393,774254,27647,185835,109311,451461,15657,1047964,359278,754387,58168,52421,377162,266636,3055358
2013:Q1,3117100,8509,26490,31674,2498,779611,28863,184120,106792,459836,15388,1111733,376649,764548,59543,51387,387073,266545,3154354
2013:Q2,3216111,8580,27606,33008,2603,768523,30078,178488,100668,459289,15119,1090648,373088,896936,58689,50354,521440,266453,3253349
2013:Q3,3315126,8650,28722,34342,2708,778239,31294,177139,99422,470384,14850,1105706,389588,952321,59607,49321,577031,266362,3352344
2013:Q4,3414138,8720,29837,35676,2813,782963,32510,174266,98188,477999,14581,1164955,407942,966651,60786,48288,591307,266270,3451340
2014:Q1,3417196,9257,30328,36263,2860,808556,33044,177523,100934,497055,14607,1147457,414238,953630,60637,47317,574307,271369,3454394
2014:Q2,3420258,9794,30819,36849,2906,832604,33579,180705,103581,514739,14633,1161988,428130,902535,61096,46346,518625,276468,3457447
2014:Q3,3423316,10331,31310,37436,2952,845861,34114,181800,103393,526554,14659,1120399,421776,938592,59837,45376,551812,281567,3460501
2014:Q4,3426365,10868,31801,38023,2998,870127,34648,186300,104697,544482,14685,1137904,425645,894314,59817,44405,503426,286666,3463555
2015:Q1,3419532,10680,30939,36993,2917,871262,33710,186236,105695,545621,14499,1144498,426142,881602,59947,47722,488353,285580,3456746
2015:Q2,3412699,10491,30077,35963,2836,850829,32771,179489,101235,537334,14313,1132019,416621,919550,59157,51040,524858,284495,3449937
2015:Q3,3405862,10303,29216,34932,2755,851353,31832,179608,100268,539645,14127,1036102,381497,1045577,56311,54357,651500,283409,3443128
2015:Q4,3399026,10114,28354,33902,2673,835444,30893,174717,98339,531495,13941,1086928,382850,1004820,56536,57675,608286,282323,3436319
2016:Q1,3407277,9982,28140,33647,2653,864333,30660,181383,100780,551510,13989,1067243,384512,1002778,56196,59777,600526,286279,3444611
2016:Q2,3415527,9850,27927,33391,2633,885366,30428,185931,102697,566310,14037,1065791,384848,991684,56350,61878,583221,290235,3452903
2016:Q3,3423793,9718,27713,33136,2613,888442,30195,186084,102908,569255,14085,1083821,392084,972181,56894,63980,557116,294191,3461196
2016:Q4,3432055,9586,27499,32880,2593,859437,29962,179540,101251,548684,14132,1099076,385079,1001773,56030,66082,581514,298147,3469489
2017:Q1,3443674,9642,28428,33990,2680,889144,30974,188345,106166,563659,14551,1134909,395769,934561,57841,70397,505953,300370,3481127
2017:Q2,3455287,9697,29356,35101,2768,926151,31986,198255,111664,584246,14969,1141144,399417,896684,59106,74711,460273,302594,3492765
2017:Q3,3466909,9752,30285,36211,2856,954608,32997,206588,116438,598585,15387,1165315,405959,846536,60633,79025,402061,304817,3504404
2017:Q4,3478526,9807,31214,37321,2943,980664,34009,214283,120555,611817,15805,1210941,411486,778345,62192,83340,325772,307041,3516042
2018:Q1,3482638,9581,29912,35764,2820,971119,32590,213921,121049,603559,15421,1179284,399020,839717,62594,74208,397445,305470,3520096
2018:Q2,3486750,9355,28609,34207,2698,973145,31171,216510,122185,603279,15037,1200409,393620,829670,63939,65076,396755,303900,3524151
2018:Q3,3490863,9130,27307,32650,2575,985602,29753,217354,123583,614912,14654,1260979,395561,762405,65952,55944,338180,302329,3528206
2018:Q4,3494980,8904,26005,31093,2452,1000428,28334,225359,126694,620041,14270,1055518,344941,1011369,62832,46812,600966,300759,3532260
2019:Q1,3529595,8904,22056,33762,5784,1038436,27515,237652,128854,644415,14230,1164133,366538,875752,64112,45462,452876,313302,3566841
2019:Q2,3564209,8904,18107,36430,9115,1075144,26697,252214,131481,664752,14191,1172259,365288,864771,63136,44113,431678,325844,3601422
2019:Q3,3598820,8903,14159,39099,12447,1100978,25879,265402,133179,676518,14151,1146191,353934,908958,61191,42763,466617,338387,3636004
2019:Q4,3633433,8903,10210,41767,15779,1104620,25060,269786,132958,676816,14112,1210104,360874,867064,60867,41413,413854,350930,3670585
2020:Q1,3632277,9720,10630,43487,16428,1106144,26092,288811,137503,653738,14215,930264,303198,1198191,55256,40457,748471,354007,3669413
2020:Q2,3631121,10536,11051,45207,17078,1168873,27124,283051,135621,723077,14318,1108890,349333,905835,59441,39502,449808,357084,3668241
2020:Q3,3629964,11353,11471,46926,17728,1176146,28156,277269,133605,737116,14421,1183153,369514,799252,60955,38546,339590,360161,3667069
2020:Q4,3628803,12169,11891,48646,18377,1192769,29188,268771,132407,762403,14524,1331052,406635,592740,64183,37590,127729,363238,3665896
2021:Q1,3640494,12048,11945,48864,18460,1157495,29319,262998,133011,732167,14805,1354965,409188,612724,63469,35176,150099,363980,3677914
2021:Q2,3652168,11927,11998,49082,18542,1206274,29449,275543,137691,763591,15085,1405535,422086,511639,64860,32761,49296,364722,3689932
2021:Q3,3663840,11806,12051,49300,18625,1221581,29580,282884,141188,767929,15366,1342358,409141,583612,63080,30347,124721,365464,3701950
2021:Q4,3675503,11684,12104,49518,18707,1238938,29711,291299,143450,774478,15646,1403355,414926,510625,63048,27933,53437,366207,3713968
2022:Q1,3688043,11886,12242,50081,18920,1159508,30049,275325,137780,716354,15757,1300120,385737,733792,59842,26954,279680,367316,3726787
2022:Q2,3700560,12127,12406,50751,19172,1101798,30450,265613,135776,669959,15890,1049785,332718,1105913,54598,25789,656890,368636,3739605
2022:Q3,3713069,12317,12535,51280,19373,1060243,30768,263546,132084,633845,15995,976393,311608,1253325,52414,24868,806363,369680,3752423
2022:Q4,3725617,12488,12652,51758,19553,1094857,31055,275819,133520,654463,16089,1022547,327364,1168309,53564,24037,720086,370622,3765241
2023:Q1,3733016,12782,12852,52578,19863,1154871,31547,305813,137296,680215,16252,1058757,339502,1065559,54431,22611,616279,372238,3772959
2023:Q2,3740480,13070,13049,53381,20166,1172787,32029,322593,137324,680841,16411,1110506,349488,991622,54815,21214,541773,373820,3780677
2023:Q3,3747921,13247,13169,53873,20352,1142819,32324,311586,136452,662457,16508,1050003,334783,1103167,53246,20359,654773,374789,3788395
2023:Q4,3755331,13494,13337,54562,20612,1222471,32737,330327,141995,717412,16644,1144749,360978,908484,55141,19161,458035,376147,3796113
2024:Q1,3762747,13735,13501,55233,20866,1222951,33140,327853,142465,719493,16777,1228104,379952,811628,56228,17994,359936,377470,3803831
