date,FU106060005.Q,FU106231005.Q,FU106121075.Q,FU105020601.Q,FU106300015.Q,FU106006065.Q,FU105440005.Q,FU106000105.Q,FU105090005.Q,FU105050005.Q,FU105019005.Q,FU105020005.Q,FU105420005.Q,FU105000005.Q,FU104090005.Q,FU103091003.Q,FU103020005.Q,FU103030003.Q,FU103034000.Q,FU102051003.Q,FU104022005.Q,FU103069100.Q,FU103061103.Q,FU103061703.Q,FU103062003.Q,FU123063003.Q,FU104023005.Q,FU103065005.Q,FU103066005.Q,FU103092305.Q,FU103064103.Q,FU103092105.Q,FU103092405.Q,FU103064203.Q,FU103070005.Q,FU103090005.Q,FU104194005.Q,FU104190005.Q,FU104122005.Q,FU103169100.Q,FU103162000.Q,FU103163005.Q,FU104123005.Q,FU103168005.Q,FU103169005.Q,FU103165005.Q,FU103192305.Q,FU103170005.Q,FU103178005.Q,FU103190005.Q,FU573074005.Q,FU573073005.Q,FU103193005.Q,FU103181105.Q,FU103164105.Q,FU103192105.Q,FU107005005.Q,FU105005305.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,32493,11681,5877,-2152,8393,412,0,21588,15343,21885,19102,2899,-116,-6542,5477,-41,427,0,0,0,715,51,562,0,102,0,800,14,786,10,0,685,-0,0,2046,835,12019,10954,4294,-6,0,4300,1799,684,89,1025,-40,1588,775,2538,0,865,1673,1065,1000,65,6245,709
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,25616,9262,6040,1856,9376,284,0,21830,16184,15074,17269,-1996,-199,1110,3902,0,1042,0,0,0,1962,85,1844,0,33,0,566,-6,572,14,0,617,0,0,-960,661,2792,1516,2899,-4,0,2903,-1316,-1894,-68,646,-19,-262,-2302,2516,0,771,1745,1276,1212,64,5646,-6472
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39202,16764,7375,-4965,10346,275,0,20719,14943,24252,18961,5560,-269,-9309,16784,47,1319,0,0,0,3218,-122,3173,0,167,0,1113,-1,1114,6,0,579,0,0,9943,559,26093,24658,1669,45,0,1624,4379,3688,238,453,-77,7973,7255,3459,0,844,2615,1435,1288,147,5776,3808
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,39909,21104,7042,-1199,11937,563,0,23064,1478,30993,22779,8486,-272,-29515,8027,34,1637,0,0,0,922,-53,783,0,192,0,627,3,624,-2,0,467,0,0,3381,961,37542,35332,3356,62,0,3294,5073,4209,269,595,-26,-378,4476,22831,0,3695,19136,2210,2107,103,21586,8492
1952:Q1,8914,4557,1665,318,3178,183,0,6371,3390,6891,6054,898,-61,-3501,-1836,-7,-1348,0,0,0,-762,48,-791,0,-19,0,-1625,1,-1626,15,0,363,0,0,1470,58,1665,1049,1140,59,0,1081,-241,-267,-130,156,12,-1955,-1725,3818,139,285,3394,616,573,43,2980,703
1952:Q2,8370,4244,1809,289,3260,195,0,6061,1371,5387,6246,-798,-61,-4016,-38,18,1339,0,0,0,-1270,294,-1227,0,-337,0,556,1,555,23,0,561,0,0,-1180,-85,3978,3259,1446,-24,0,1470,-444,-422,104,-126,14,-2134,-2202,6579,6,748,5825,719,664,55,4690,-479
1952:Q3,8359,4209,1764,175,3360,192,0,6113,6620,6548,5802,810,-63,72,5288,-4,548,0,0,0,452,-21,383,0,90,0,104,1,103,11,0,287,0,0,3747,143,5216,4789,1169,42,0,1127,587,461,136,-10,9,2526,628,-130,6,704,-840,427,390,37,-508,628
1952:Q4,9335,4667,1815,199,3478,194,0,6724,13982,7358,6278,1147,-67,6624,2004,-23,243,0,0,0,648,-216,629,0,235,0,805,1,804,-18,0,-432,0,0,-135,916,-4620,-5252,1012,-15,0,1027,1558,1024,321,213,-11,2324,143,-10278,9,640,-10927,632,693,-61,-7258,828
1953:Q1,9836,4941,1712,-108,3614,180,0,6868,10502,7263,6595,745,-77,3240,-1630,27,-3052,0,0,0,586,17,517,0,52,0,-670,1,-671,15,0,359,0,0,962,143,-4870,-5456,799,39,0,760,608,97,219,292,17,-1989,-1374,-3516,7,747,-4270,586,518,68,-3634,574
1953:Q2,9846,4959,1860,-399,3739,165,0,6532,15996,7615,6688,1008,-82,8382,623,-28,2121,0,0,0,-1660,-18,-1710,0,68,0,366,1,365,16,0,407,0,0,-702,103,-7759,-8323,940,-73,0,1013,-392,-366,34,-60,6,319,-806,-8390,8,789,-9186,564,545,19,-9465,1248
1953:Q3,9596,4817,1854,-501,3853,155,0,6431,10571,7166,6855,395,-84,3405,3996,11,155,0,0,0,1886,20,1778,0,88,0,-80,0,-80,14,0,352,0,0,1435,223,591,213,580,50,0,530,404,290,49,65,17,815,2198,-3801,7,851,-4659,378,315,63,-4140,889
1953:Q4,7227,3652,1817,11,3954,142,0,5865,-11977,5715,6770,-969,-86,-17692,48,29,685,0,0,0,982,-10,1008,0,-16,0,644,0,644,-19,0,-466,0,0,-2540,733,17740,17427,1267,55,0,1212,-354,-583,-151,380,-9,578,587,15357,9,921,14428,313,388,-75,17842,-8
1954:Q1,7786,3580,1893,-3,4045,124,0,6479,-5709,5938,6680,-663,-79,-11647,-4276,1,-2844,50,0,0,-1287,108,-1353,0,-42,0,-888,0,-888,12,0,284,0,0,258,138,7371,6579,900,123,0,777,15,-323,61,277,14,-2646,-3646,11942,8,688,11246,792,737,55,12187,-417
1954:Q2,8044,3700,1762,-9,4163,127,0,6863,-9174,5793,6630,-753,-84,-14967,-532,13,1648,50,0,0,-3028,26,-3013,0,-41,0,409,0,409,16,0,393,0,0,-6,-27,14435,13842,894,-41,0,935,-908,-649,-126,-133,20,43,-3016,16809,6,611,16192,593,522,71,16037,-944
1954:Q3,8616,3961,1856,-171,4310,131,0,7069,-13082,5951,6704,-659,-94,-19033,5544,22,1406,50,0,0,1529,-38,1492,0,75,0,-72,0,-72,9,0,200,0,0,2319,81,24577,24278,1375,100,0,1275,-359,-172,-118,-69,16,1322,1839,20085,8,503,19574,299,228,71,20150,-986
1954:Q4,9271,4287,1846,-135,4484,142,0,7629,1542,6582,6641,49,-109,-5040,4762,8,1569,50,0,0,1123,-9,1157,0,-25,0,897,1,896,-13,0,-302,0,0,814,616,9802,9840,495,-53,0,548,1182,489,273,420,-41,3313,1604,3287,11,386,2890,-38,96,-134,6087,-905
1955:Q1,10548,4865,1996,-277,4686,162,-2,8260,2166,7507,6710,932,-135,-5341,717,-11,-1515,-25,0,0,253,-10,20,150,93,0,-853,3,-856,12,0,283,0,0,2400,173,6058,5450,477,-31,0,508,401,360,-258,299,18,-739,-1831,7124,13,449,6662,608,531,77,6094,-591
1955:Q2,10714,4923,2054,-221,4856,186,-2,8560,-15625,8264,7059,1356,-150,-23889,3038,-20,942,-25,0,0,-640,71,-755,50,-6,0,564,4,560,18,0,488,0,0,1577,134,26927,26683,604,-120,0,724,1062,744,125,193,24,1610,-910,24293,22,431,23840,244,160,84,24185,-110
1955:Q3,10997,5054,2176,-548,4994,197,-2,8411,-8906,8707,7543,1326,-162,-17613,7345,-4,548,-25,0,0,1924,-107,1831,50,150,0,79,4,75,14,0,349,0,0,4371,89,24958,24612,465,-9,0,474,1022,948,-153,227,17,3970,3222,15916,21,459,15436,346,278,68,17317,493
1955:Q4,11494,5273,2189,-690,5099,204,-2,8647,457,9567,8090,1646,-169,-9110,6282,6,978,-25,0,0,2694,-28,2662,50,10,0,908,3,905,-15,0,-406,2,0,1255,885,15392,14764,1302,-9,0,1311,3143,1849,454,840,-30,4201,3182,2966,15,507,2444,628,750,-122,8189,1125
1956:Q1,11042,5021,2220,-728,5171,213,-5,8462,-9868,9731,8376,1524,-168,-19599,-4047,-34,-3142,0,0,0,-2149,-46,-2403,25,275,0,-880,2,-882,22,0,544,2,0,1122,468,15552,14945,422,0,0,422,1967,1451,282,234,22,-1883,-3297,17714,16,581,17117,607,522,85,18329,1483
1956:Q2,11292,5110,2236,-911,5268,230,-5,8537,17224,9797,8780,1188,-170,7427,-79,46,837,0,0,0,-3193,154,-3211,25,-161,0,405,1,404,25,0,650,2,0,1156,-7,-7506,-7816,887,-73,0,960,1490,1493,-106,103,20,1729,-2958,-8984,6,567,-9557,310,234,76,-8687,1490
1956:Q3,10558,4756,2217,-298,5389,251,-5,8931,14171,10035,9186,1021,-172,4136,4600,-22,300,0,0,0,-59,46,-92,25,-38,0,26,1,25,33,0,805,4,0,3491,22,464,-177,1179,112,0,1067,596,724,-211,83,15,1700,2084,-5751,7,516,-6274,641,573,68,-5240,1355
1956:Q4,11234,5032,2334,-756,5533,280,-5,8929,-15495,10081,9344,909,-173,-25575,4557,19,1713,0,0,0,1149,-66,1143,25,47,0,883,3,880,-8,0,-211,3,0,-87,1096,30132,29306,1004,-23,0,1027,2200,1416,272,512,-8,2572,2495,21043,15,466,20562,826,921,-95,24424,1431
1957:Q1,11386,5109,2322,-606,5702,302,-6,9359,23447,9828,9546,454,-172,13620,-1859,60,-2588,0,0,0,-325,50,-552,100,77,0,-1092,4,-1096,24,0,588,5,0,1207,262,-15479,-16274,1445,-25,0,1470,1138,126,510,502,7,-1672,-2536,-14656,9,755,-15419,795,760,35,-14089,771
1957:Q2,10772,4874,2287,-377,5842,302,-6,9385,-10208,9918,9613,479,-174,-20127,704,-22,698,0,0,0,-1861,-6,-1939,100,-16,0,543,5,538,47,0,1198,5,0,138,-42,20831,19882,1432,-33,0,1465,1360,1251,40,69,11,-8,-2261,19348,22,924,18403,949,903,46,19593,836
1957:Q3,10465,4737,2308,-320,5955,293,-6,9354,36268,10210,9836,552,-177,26058,3857,-23,612,0,0,0,749,-4,546,100,107,0,-88,5,-93,18,0,427,4,0,1944,214,-22201,-22508,1557,44,0,1513,-71,-314,135,108,2,1116,1554,-26665,3,1111,-27779,307,299,8,-26914,1149
1957:Q4,9478,4261,2309,-236,6040,271,-6,8988,2681,8564,9578,-833,-181,-5884,1859,-22,1312,0,0,0,975,90,816,100,-31,0,678,4,674,2,0,33,5,0,-1662,538,7743,7259,1642,58,0,1584,1165,159,375,631,19,2150,1110,1172,5,1272,-104,484,479,5,6307,-153
1958:Q1,7914,3508,2308,-55,6097,231,-7,8377,-6957,7019,8679,-1471,-189,-13976,-3416,29,-3052,550,0,0,-1246,311,-1195,-100,-262,0,-1230,4,-1234,10,0,309,4,0,1114,96,10560,10271,2159,294,0,1865,-432,-1163,456,275,17,-4061,-3126,15714,15,738,14961,289,221,68,15334,-1127
1958:Q2,8087,3587,2306,78,6172,195,-7,8646,-9871,6756,8323,-1374,-193,-16627,1265,-28,1246,550,0,0,-2080,-291,-2054,-200,465,0,446,4,442,25,0,601,0,0,156,349,17892,16959,1155,75,0,1080,-242,-121,-345,224,20,1354,-2504,17176,21,599,16556,933,858,75,18517,-1695
1958:Q3,9277,4138,2283,-61,6266,170,-7,9238,-23520,7865,8206,-144,-196,-31385,7223,40,993,-100,0,0,951,-231,835,50,297,0,93,4,89,15,0,353,1,0,4747,130,38608,38052,1450,4,0,1446,-443,-213,-506,276,18,3232,1331,32464,26,436,32002,556,485,71,32758,-1203
1958:Q4,10779,4831,2218,-217,6379,166,-7,10064,-7905,9140,8512,826,-198,-17045,6458,-23,1872,-100,0,0,2932,-14,2917,50,-21,0,856,3,853,-10,0,-218,1,0,387,761,23503,23236,1115,-137,0,1252,2575,1177,424,974,-46,3707,1704,14181,29,256,13896,267,404,-137,17969,-758
1959:Q1,11502,5200,2370,-157,6510,173,-11,10469,1726,9721,8935,985,-198,-7995,668,-6,-2819,-100,0,0,1580,292,1188,100,0,0,-789,-13,-776,21,0,515,1,0,1661,604,8663,8052,586,-6,0,592,254,-273,491,36,27,-125,-344,7654,15,692,6947,611,511,100,8743,-575
1959:Q2,12639,5719,2464,-249,6643,198,-10,11058,-4103,11188,9216,2173,-200,-15291,5810,-6,966,-100,0,0,1195,120,824,200,51,0,549,-12,561,31,0,740,3,0,2074,358,21102,20242,668,-194,0,862,2376,1928,407,41,31,1817,909,14440,26,592,13823,860,738,122,15161,328
1959:Q3,10958,4976,2486,-83,6776,216,-15,10420,17514,9782,9519,608,-345,7732,4267,8,-482,-100,0,0,2371,-382,2207,100,446,0,-114,-41,-73,19,0,480,4,0,1909,172,-3466,-3818,637,69,0,568,313,543,-243,13,23,340,684,-5814,10,776,-6600,352,260,92,-7094,-422
1959:Q4,10529,4787,2496,212,6911,240,-13,10622,-15832,10648,9605,1390,-346,-26480,4355,-13,1448,-100,0,0,1351,502,1310,200,-661,0,1586,0,1586,-22,0,-521,5,0,-98,719,30835,30429,845,-212,0,1057,2903,1425,676,802,-33,3258,875,22581,27,679,21875,406,569,-163,26453,266
1960:Q1,11816,5358,2581,-217,7047,283,-21,11011,32894,11924,10033,2013,-121,20970,-1249,-11,-2668,-232,0,0,-982,-2,-1635,0,655,0,-1799,1,-1800,22,0,538,6,0,2562,1315,-22220,-22645,534,112,0,422,1562,538,1061,-37,18,-565,-1333,-22861,2,442,-23304,425,351,74,-21883,1196
1960:Q2,10691,4842,2585,-151,7161,292,-25,10591,-848,10556,10282,453,-179,-11404,26,19,1007,-181,0,0,-1849,17,-1739,143,-270,0,704,1,703,13,0,316,7,0,517,-528,11430,11016,1011,120,0,891,1648,879,661,108,10,903,-914,8357,23,352,7983,414,369,45,11439,257
1960:Q3,10179,4603,2674,129,7253,291,-24,10598,37345,10602,10145,642,-185,26743,2253,51,202,259,0,0,-1694,-109,-1801,-153,369,0,-267,1,-268,12,0,323,5,0,2854,508,-24491,-24953,1017,235,0,782,-498,-314,-409,225,19,988,-108,-26370,1,232,-26603,462,400,62,-26747,294
1960:Q4,9598,4339,2615,66,7324,273,-23,10330,-39211,8835,10059,-1057,-168,-48046,1811,-56,519,1654,0,0,-794,140,-694,-74,-166,0,870,0,870,62,0,1534,3,0,-1008,-973,49858,49602,1314,-13,0,1327,2359,1109,729,521,1,1509,765,43654,40,-65,43678,256,245,11,49541,-1222
1961:Q1,9310,4274,2564,-19,7372,245,-27,10097,-34703,9113,9856,-594,-150,-43815,-1701,41,-1781,272,0,0,-535,-226,-527,-180,398,0,-1655,2,-1657,29,0,694,3,0,902,329,42115,41385,215,-146,0,361,-281,-11,-189,-81,15,-1665,-1639,44740,44,83,44613,730,670,60,44799,-739
1961:Q2,10165,4665,2616,254,7494,230,-29,10891,11496,10098,10061,233,-197,1398,5961,24,1307,591,0,0,-239,51,-589,297,2,0,582,2,580,26,0,660,1,0,2607,402,4564,3315,2056,103,0,1953,108,-298,119,287,22,1464,-337,2,17,-231,215,1249,1168,81,-604,-563
1961:Q3,10866,4991,2634,81,7691,210,-32,11254,-580,11048,10154,1106,-212,-11628,3731,25,134,743,0,0,-1292,-368,-1348,15,409,0,45,2,43,30,0,737,1,0,3552,-244,15359,14934,998,291,0,707,-324,-210,-349,235,11,1642,973,11633,23,-271,11881,425,383,42,11833,4
1961:Q4,11919,5489,2762,-45,7961,202,-35,11821,-5727,11202,10475,893,-165,-16930,5361,-2,3423,-506,0,0,856,844,808,0,-796,0,1031,3,1028,14,0,329,3,0,831,-618,22291,22334,1451,77,0,1374,3171,1453,742,976,-26,3798,1624,12316,43,-539,12811,-43,-100,57,17548,-417
1962:Q1,11641,5122,2848,111,8305,244,-30,12361,12846,11982,10645,1542,-205,864,-209,-2,-3462,1295,0,0,565,-527,121,-10,981,0,-1081,5,-1086,17,0,450,3,31,1073,902,-1073,-1170,863,37,0,826,-87,-498,77,334,8,-1361,-358,-234,9,-406,162,97,61,36,-486,-134
1962:Q2,11432,5032,2920,-31,8598,252,-30,12329,11113,11723,10944,1016,-238,-610,3222,32,1288,159,0,0,-1172,345,-1156,-54,-307,0,881,6,875,27,0,644,4,74,1227,58,3832,3620,1505,-39,0,1544,1950,1384,150,416,19,726,85,-666,-63,-849,246,212,144,68,1216,-354
1962:Q3,11823,5199,2970,-188,8839,280,-27,12612,11773,12026,11071,1155,-200,-253,4418,-19,1291,-651,0,0,-1133,172,-1416,124,-13,0,34,6,28,24,0,584,1,49,3936,302,4672,4563,848,271,0,577,655,571,-412,496,11,2499,995,-445,30,-577,101,109,64,45,839,-306
1962:Q4,11941,5238,2852,134,9029,282,-39,13335,10322,11422,11035,586,-199,-1100,4538,-136,4453,97,0,0,495,225,662,-33,-359,0,960,4,956,37,0,915,2,20,-1717,-589,5638,5471,920,-165,0,1085,3826,2184,568,1074,49,1071,359,-754,52,-955,148,167,100,67,3013,-1631
1963:Q1,11969,5231,3014,246,9168,334,-23,13494,10570,11946,11124,988,-166,-1376,-1480,38,-6793,344,0,0,4172,-212,4060,-345,669,0,-1038,2,-1040,35,-151,857,0,11,1843,-798,-104,-147,952,16,0,936,311,-493,417,387,13,-586,-759,-78,35,-337,224,43,-5,48,2924,-1214
1963:Q2,12961,5668,3106,54,9310,340,-21,13912,12187,12144,11454,931,-241,43,4459,121,1530,-184,0,0,-415,-84,-1115,384,400,0,729,0,729,33,-157,859,-1,-2,1680,266,4416,4321,889,-227,0,1116,1919,1033,309,577,29,1594,147,-257,31,-494,206,95,-11,106,1725,-1428
1963:Q3,13378,5851,3136,-58,9456,342,-23,14154,12458,12789,11792,1239,-242,-331,4147,-65,636,-43,0,0,-323,-563,-650,85,805,0,177,0,177,25,-162,581,0,-1,3125,197,4477,4282,654,124,0,530,499,231,-367,634,23,2292,970,-155,30,-395,210,195,96,99,1695,-1023
1963:Q4,13732,6004,3188,-188,9606,336,-21,14315,7864,12900,12165,879,-144,-5036,4890,-303,3640,570,0,0,475,524,526,209,-784,0,1093,4,1089,35,-170,886,1,8,-340,-1006,9925,10401,1046,-143,0,1189,4475,2653,747,1075,-36,4065,1031,-180,31,-395,184,-476,-421,-55,6450,-1079
1964:Q1,14400,5933,3270,-59,9760,315,-21,15233,13924,13292,12417,1129,-254,633,-1103,136,-4581,1037,0,68,1146,372,1020,-283,37,0,-841,5,-846,29,-109,711,1,-1,1087,214,-1736,-2442,657,-20,0,677,848,-587,845,590,17,-3161,-635,-168,45,-395,182,706,637,69,1309,-1627
1964:Q2,14414,5928,3452,-36,9926,304,-18,15246,12041,13561,12765,1104,-308,-1521,4422,92,1979,-272,0,101,-638,-283,-908,39,514,0,541,7,534,38,-112,915,1,11,1686,80,5942,5076,1212,-59,0,1271,2788,1652,616,520,23,1573,-434,-85,38,-368,244,866,782,84,3205,-1381
1964:Q3,14805,6071,3561,-225,10106,300,-21,15374,13541,14142,13201,1258,-317,-601,5627,56,399,-143,0,-34,-926,671,-838,-212,-547,0,155,7,148,34,-116,876,0,5,5411,-90,6229,6000,888,192,0,696,1311,607,-119,823,11,2983,663,143,36,-117,224,229,187,42,1833,-932
1964:Q4,14604,5956,3713,-174,10298,296,-21,15376,6772,14730,13580,1191,-41,-7958,3927,-181,1777,362,0,174,-219,-35,79,-152,-111,0,1105,5,1100,38,-116,924,0,22,358,-317,11886,12291,1394,44,0,1350,4809,3146,390,1273,-11,5564,873,-338,35,-361,-13,-405,-461,56,8604,-350
1965:Q1,16398,6472,3740,-100,10504,295,-21,16905,14202,16503,14504,2221,-223,-2300,2049,-64,-3339,1033,0,-29,199,-699,-389,78,1209,0,-872,2,-874,61,11,1471,2,12,2796,768,4350,4269,656,-278,0,934,3691,2197,757,737,36,-143,-320,349,32,46,271,81,-56,137,2703,-108
1965:Q2,16996,6683,3924,-280,10724,328,-24,17185,14215,16444,15076,1482,-113,-2230,5961,-211,810,897,0,-82,-1542,-317,-1772,-19,566,0,632,0,632,54,11,1360,3,27,3208,794,8191,7859,1479,-120,0,1599,4101,3006,667,428,1,2480,-575,373,6,211,156,332,330,2,2971,-413
