date,FA384104005.Q,FA154104005.Q,FA153165105.Q,FA153166000.Q,FA144104005.Q,FA104104005.Q,FA314104005.Q,FA214104005.Q,FA794104005.Q,FA264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-9240,6625,4394,2977,7166,5301,-23079,48,-447,2303
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12721,8846,5167,3521,8653,6914,-6408,1630,15,4081
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12435,8510,5155,3034,7407,6093,-4886,1404,2041,1212
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15333,7850,3984,3042,2965,1583,3617,901,1316,353
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,26923,13572,7844,4573,9154,6048,-395,4592,2718,142
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,17179,14491,8180,3027,14872,12077,-16612,4428,2896,720
1957:Q3,35971,11163,8344,2971,11004,7827,9008,4796,4500,516
1957:Q4,19819,8651,8056,1355,10260,7593,-4532,5440,4140,2600
1958:Q1,29321,6453,8092,-1263,9632,7949,7768,5468,1556,1760
1958:Q2,39661,8481,7944,-1107,8308,4373,17296,5576,4332,1852
1958:Q3,25341,12709,10404,781,10948,6355,-3676,5360,-8180,1700
1958:Q4,60457,19533,12772,2681,15660,10673,19148,6116,5224,2168
1959:Q1,44643,19279,12972,6559,10520,4866,9068,5776,1416,472
1959:Q2,57771,22223,12884,6779,20344,12532,9012,6192,9332,1468
1959:Q3,54187,23455,13696,8139,13272,6563,10608,6852,7320,1228
1959:Q4,45559,23271,12588,9415,14464,10366,2536,5288,8548,176
1960:Q1,30612,14528,11872,3428,14908,10495,-4728,5904,2868,1536
1960:Q2,40940,20644,10096,6116,15916,10553,-1284,5664,6924,1724
1960:Q3,33296,17116,11704,3932,10104,5013,508,5568,4180,1348
1960:Q4,37852,17892,11444,2664,13964,9728,1072,4924,7568,2336
1961:Q1,30361,14269,11124,1685,9556,2396,956,5580,-7660,2412
1961:Q2,43497,17509,10612,-519,13404,7996,8180,4404,5764,-184
1961:Q3,53145,15969,13196,2157,14064,5948,16768,6344,3348,2676
1961:Q4,56341,24413,15664,5425,19328,13236,6512,6088,11472,3068
1962:Q1,46475,16327,12072,3551,12924,6175,10240,6984,-4092,3040
1962:Q2,54847,21159,13552,8067,20540,12619,7572,5576,5600,1880
1962:Q3,44755,24039,15376,5235,17244,9684,-1376,4848,6804,-208
1962:Q4,68875,25879,16120,6783,21548,13439,15036,6412,13308,2708
1963:Q1,51803,23123,14544,7859,15556,8475,7972,5152,-9308,3364
1963:Q2,64867,30063,16148,7279,18824,9398,8988,6992,14612,5132
1963:Q3,47263,29243,18504,9247,17376,8829,-3816,4460,10668,1128
1963:Q4,69307,31407,18000,9719,25900,16277,6712,5288,15148,2600
1964:Q1,54531,27803,17268,10739,16300,9555,5340,5088,-3792,2348
1964:Q2,66239,29879,16460,8855,23156,13563,6292,6912,18288,3304
1964:Q3,65475,26799,18004,10079,23024,13872,8664,6988,1704,2256
1964:Q4,72971,31195,17184,8255,26332,18638,8908,6536,9472,5708
1965:Q1,66315,27027,16988,11967,28764,21028,3520,7004,-1624,4752
1965:Q2,68155,29007,15624,11799,29860,19149,736,8552,23484,1640
1965:Q3,56527,27019,18184,9327,29332,19584,-7624,7800,-2768,560
1965:Q4,84075,31879,17660,7455,30212,21102,15140,6844,17336,2732
1966:Q1,76219,25131,17184,10067,38208,25431,6044,6836,2676,2820
1966:Q2,78215,28787,13188,5467,42080,31173,-1176,8524,25872,2352
1966:Q3,52355,14923,11672,3635,32008,24761,-676,6100,-2608,-120
1966:Q4,66799,19919,9768,4563,25684,17878,15204,5992,21052,2476
1967:Q1,66443,14055,9356,3867,33384,26988,13220,5784,-7144,5492
1967:Q2,50515,18971,9020,4127,37240,25431,-14080,8384,-2800,3776
1967:Q3,89951,23147,17616,5815,32820,22380,25592,8392,7612,3624
1967:Q4,146215,80027,17440,6771,27132,14453,32312,6744,18444,3808
1968:Q1,55312,-18576,16580,7764,40400,33848,26512,6976,-1020,3756
1968:Q2,95972,39976,15168,9612,43968,30305,4260,7768,22608,1296
1968:Q3,100400,28872,17908,10752,41464,31036,22328,7736,10392,2348
1968:Q4,108528,46312,18616,14900,47356,34113,2328,12532,20300,3300
1969:Q1,84604,19352,18472,12620,44720,33563,4492,16040,-7720,3060
1969:Q2,73228,34760,17072,11760,57156,38477,-31868,13180,37256,3864
1969:Q3,92816,21408,19032,7628,50216,33665,10432,10760,14308,2380
1969:Q4,99128,36480,16240,7620,43700,28818,10400,8548,51360,2672
1970:Q1,65731,7819,12068,5195,41832,69754,7668,8412,17504,2676
1970:Q2,94631,10587,4500,3231,60572,43144,10616,12856,20616,2212
1970:Q3,105007,21787,11624,6347,47852,28661,25740,9628,824,1400
1970:Q4,105759,31231,16976,2943,43432,25461,13752,17344,27916,5200
1971:Q1,107521,34029,21820,18265,48416,32436,7584,17492,-9160,5044
1971:Q2,157173,38257,15840,11161,60836,32721,41360,16720,-1312,4272
1971:Q3,147709,43153,26784,15013,56712,34831,32820,15024,11248,3772
1971:Q4,152809,61509,31808,17893,45708,21410,29108,16484,41420,3656
1972:Q1,143098,53470,33808,16546,65840,46703,6100,17688,3404,5476
1972:Q2,153946,60682,25672,20738,72808,34846,7696,12760,22464,1116
1972:Q3,155002,52182,35760,16938,66436,37511,24052,12332,15728,1328
1972:Q4,206842,74158,41152,23834,85440,45928,34172,13072,60852,5640
1973:Q1,215722,72638,43392,24978,107248,71406,21744,14092,632,5116
1973:Q2,181714,56146,33056,25582,108624,77386,5928,11016,53200,7000
1973:Q3,177626,64822,36720,19286,101480,93398,-2376,13700,48008,-336
1973:Q4,165158,63642,44704,19990,73028,76400,11020,17468,55380,6904
1974:Q1,167312,49616,40412,14340,99684,66699,400,17612,1776,1816
1974:Q2,206252,60560,33968,13472,117068,72452,14824,13800,57684,17712
1974:Q3,186244,58588,38364,9660,94984,52585,18396,14276,69232,11316
1974:Q4,158132,51144,36472,-1688,74048,45624,24892,8048,49816,12400
1975:Q1,149233,34693,32000,2113,40776,17880,64724,9040,-16440,14600
1975:Q2,196145,43321,32088,-2651,32664,8134,111456,8704,4720,8520
1975:Q3,199313,63997,40868,11773,33708,16095,95884,5724,-9668,9272
1975:Q4,230649,93653,53948,19845,30540,14172,85340,21116,64020,19748
1976:Q1,244962,77674,58348,19262,64524,31100,80164,22600,2780,14344
1976:Q2,265510,82254,46428,18102,68596,42349,89040,25620,25656,12992
1976:Q3,246542,80342,59580,19762,76428,47198,74704,15068,23560,14652
1976:Q4,255102,111858,66180,30734,81416,52377,51232,10596,79460,23160
1977:Q1,289588,115308,77264,28264,107328,63280,50772,16180,-9644,7384
1977:Q2,297160,132452,80400,40920,107352,61696,32500,24856,68104,10400
1977:Q3,370256,133188,92380,36092,108240,68371,108396,20432,39696,16292
1977:Q4,357380,141520,93652,37884,137904,96562,59908,18048,123264,8848
1978:Q1,383919,147803,98756,39675,141180,95854,58000,36936,13916,1016
1978:Q2,410759,176675,95368,60227,140800,80201,55352,37932,106240,12632
1978:Q3,416279,167543,111408,45191,123952,58662,87120,37664,55820,9912
1978:Q4,390199,163199,119816,40559,144204,81838,37584,45212,136324,33424
1979:Q1,357455,167099,123032,45223,148440,95232,11808,30108,33088,10872
1979:Q2,406019,164899,104888,44711,180184,86517,34592,26344,126884,14856
1979:Q3,457579,176803,117648,45931,169272,88076,84144,27360,91140,43772
1979:Q4,370291,161391,120380,37379,141632,74454,44620,22648,135420,7804
1980:Q1,366193,128521,95028,17909,160924,88747,54396,22352,59316,13516
1980:Q2,274257,53685,62628,-25283,88384,33598,111404,20784,69648,25892
1980:Q3,344273,116889,97956,5961,108356,47573,95980,23048,62936,17548
1980:Q4,434361,155741,105268,15125,172608,107598,83324,22688,133896,20672
1981:Q1,378645,88605,72352,21285,141892,66882,120720,27428,19008,27496
1981:Q2,450621,130133,85868,22921,228768,164871,73364,18356,148536,29976
1981:Q3,398513,96025,58876,27865,205432,151508,64328,32728,149420,14588
1981:Q4,429809,91697,50852,7281,182660,116617,123484,31968,106000,99132
1982:Q1,422025,69905,54152,22625,172220,122611,136676,43224,28908,55027
1982:Q2,406865,77837,36508,20689,184488,120774,100912,43628,162988,49793
1982:Q3,516601,63893,33344,9769,185684,117914,228264,38760,62316,30712
1982:Q4,471065,131549,65704,22261,70616,20193,227632,41268,132676,26809
1983:Q1,535300,120596,87980,23876,110600,34969,260952,43152,10212,14951
1983:Q2,637640,177364,95416,37940,153448,94716,243936,62892,125776,28869
1983:Q3,634940,193868,115052,52892,196928,129036,205600,38544,120532,51207
1983:Q4,569836,234912,122388,77932,201652,118602,88520,44752,171296,-53934
1984:Q1,813144,226356,145764,79420,287032,177848,253304,46452,63208,40751
1984:Q2,822640,232092,120136,99272,352708,234083,182140,55700,189452,63322
1984:Q3,807144,180884,111436,71504,308360,192659,245152,72748,181088,-212
1984:Q4,809796,248760,132980,76628,343724,232576,182112,35200,213452,17639
1985:Q1,955228,304734,193140,99470,263966,160679,283304,103224,103208,-2243
1985:Q2,890839,268818,126472,79354,264829,159600,243752,113440,238120,2515
1985:Q3,869655,323230,215280,85326,217089,163431,239884,89452,258364,1763
1985:Q4,1349186,428618,191928,71810,277112,257685,295284,348172,332048,17961
1986:Q1,688676,218375,158220,55403,258305,179143,197404,14592,187344,34721
1986:Q2,946562,213695,162020,67459,298419,221958,297232,137216,332516,-3616
1986:Q3,925405,313315,237100,64611,305882,242523,255984,50224,345856,25791
1986:Q4,968329,313003,240152,35651,329050,279448,231512,94764,446720,-19987
1987:Q1,626529,188176,228192,-13496,161157,86541,146692,130504,277600,17257
1987:Q2,846846,332060,252584,47516,218634,171160,228984,67168,357852,-21154
1987:Q3,756390,284896,199660,53972,267394,213217,123620,80480,284936,5605
1987:Q4,764563,203476,207648,41148,280083,224203,197372,83632,103904,40595
1988:Q1,808373,261432,193252,58496,307213,223199,199860,39868,143488,10164
1988:Q2,838645,292056,232808,50920,314557,221895,183740,48292,285124,3536
1988:Q3,848142,291532,213732,40000,320442,221537,189344,46824,209212,-7193
1988:Q4,818056,255524,222732,36848,317208,253734,178656,66668,340024,-2045
1989:Q1,685895,218688,155821,45388,245685,191251,190000,31522,292253,7752
1989:Q2,770832,299451,205153,54220,288101,237908,148800,34479,215350,-28913
1989:Q3,680335,288310,246909,35764,161292,115550,182848,47885,103660,16699
1989:Q4,807120,359208,291622,52544,170322,125632,201981,75609,286072,492
1990:Q1,821966,258751,208400,18032,217061,193694,272552,73603,106270,-2087
1990:Q2,686668,247933,218444,18068,145063,152784,252281,41391,195554,36845
1990:Q3,624659,207590,191792,31660,104626,105674,288792,23650,183328,19114
1990:Q4,635132,209899,181629,-7336,68283,82577,307366,49583,354260,17874
1991:Q1,444392,223352,197604,1875,-61572,-54298,233496,49116,101599,49680
1991:Q2,575200,224285,221669,-8037,-40,-72,289013,61943,132782,-63317
1991:Q3,505515,123439,81181,-19029,-124285,-57732,405299,101061,196594,19804
1991:Q4,612605,250535,197417,-10049,-129070,-99435,338560,152580,298990,34287
1992:Q1,569502,207141,196786,6750,908,19097,362686,-1233,124473,9546
1992:Q2,504341,148989,114773,-7566,-29644,418,363349,21647,317638,50620
1992:Q3,654057,209921,184651,12790,8502,42386,379495,56140,271783,10430
1992:Q4,470201,237337,195880,24778,-26124,-2966,269543,-10554,210697,-3038
1993:Q1,535744,168539,98263,32019,66625,104489,235542,65038,300738,41543
1993:Q2,822488,243794,198151,42491,134686,150056,364575,79433,270737,57452
1993:Q3,787397,284606,170134,69031,148321,169509,273915,80554,453384,104214
1993:Q4,708699,291449,159086,102059,111720,117122,298776,6755,382310,44698
1994:Q1,601143,289602,169634,106079,229390,223865,102460,-20309,559880,-103719
1994:Q2,718846,314179,161315,134879,199343,185473,278560,-73237,361672,-7712
1994:Q3,706607,287444,146176,135987,220573,196748,204942,-6352,390845,9479
1994:Q4,732152,407622,189941,163051,218802,200662,188003,-82275,527873,43947
1995:Q1,663015,294366,151291,148865,282886,236342,147742,-61979,337851,64387
1995:Q2,983146,329121,163825,146533,300457,264158,412488,-58920,420447,62714
1995:Q3,638844,374850,164461,152485,193349,139495,125442,-54796,483192,88332
1995:Q4,428488,294184,136683,140077,190670,141939,10999,-67365,614202,85625
1996:Q1,910504,436459,254174,116789,242372,177749,253091,-21418,458853,54186
1996:Q2,916946,362539,210954,110089,309910,238093,258371,-13874,615008,45747
1996:Q3,702525,282604,164022,90309,264334,181635,191154,-35567,406427,125838
1996:Q4,535446,315003,191275,105685,170013,96903,61744,-11314,773248,116130
1997:Q1,801850,350396,238793,41808,323635,229278,106618,21201,308422,38875
1997:Q2,860013,330032,182624,73812,395280,298268,104421,30280,727696,79526
1997:Q3,1067638,391786,288478,74072,522563,416120,80033,73256,477412,115495
1997:Q4,797666,320422,154417,91456,436389,316017,-37436,78290,749174,51775
1998:Q1,1134882,436909,320766,33452,630771,458425,4715,62487,959519,107822
1998:Q2,1390414,494891,269053,165024,713546,520789,110515,71462,1080933,92429
1998:Q3,898052,362047,241569,94256,591988,410952,-119192,63209,1059908,-19083
1998:Q4,1135329,528034,381707,95696,578882,394259,-41658,70071,1024781,-30611
1999:Q1,1236160,565686,419442,121773,667851,475172,-59605,62228,1148056,15592
1999:Q2,1005254,570091,340119,115985,419420,272073,-5251,20993,1065711,-10230
1999:Q3,1212314,550997,410302,129217,693875,479581,-87779,55220,1126549,68234
1999:Q4,1133612,599452,338465,82429,491286,256531,32291,10583,1056497,26902
2000:Q1,1237213,746939,359388,123161,672371,482991,-201082,18985,851181,90490
2000:Q2,764164,514550,384186,194169,676209,436736,-400159,-26437,851560,-56489
2000:Q3,781766,628976,404473,195193,392847,238770,-283218,43162,716684,96791
2000:Q4,697589,440231,385879,193657,440977,240284,-215441,31822,1083766,97887
2001:Q1,989333,481172,454160,173966,249981,89256,131545,126634,565667,45070
2001:Q2,938388,730039,574759,126982,503652,331651,-370446,75143,898922,-46248
2001:Q3,1609325,969608,572889,87214,283333,133384,266345,90039,1422699,-101119
2001:Q4,960492,392269,430754,214074,244803,72378,193405,130015,894332,60274
2002:Q1,1138268,769403,655605,108270,219981,59913,44891,103994,722262,76593
2002:Q2,1305970,601692,574439,130886,148249,-10207,415603,140426,679599,87843
2002:Q3,1482406,809546,749144,94802,135453,-18794,389274,148133,789955,10864
2002:Q4,1584151,931478,845487,86762,188431,31784,278596,185646,1085185,73733
2003:Q1,1284471,914020,714352,117060,79326,-4068,183102,108023,1158120,-89850
2003:Q2,2326641,1421316,915640,128920,67172,533,661962,176191,1280947,81351
2003:Q3,1732000,955639,959173,95964,225118,156704,456120,95123,1037261,-114848
2003:Q4,1473253,978807,907279,81756,10000,-70764,381645,102802,1165819,188628
2004:Q1,1822485,916333,736518,131741,486019,206579,255924,164209,957728,110346
2004:Q2,2353634,1168993,1001294,75377,279262,40946,677255,228123,936348,-29342
2004:Q3,2067840,979029,925676,130933,524573,277083,368579,195659,891679,179577
2004:Q4,2342828,1357059,1054208,130693,534770,284161,309633,141365,1325645,105059
2005:Q1,2165794,961994,884784,113566,591785,277065,408101,203915,940721,59812
2005:Q2,2557796,1307896,1143846,112290,645043,306246,427985,176871,1242051,125648
2005:Q3,2225041,1304460,1150246,96954,530825,184045,220580,169177,603518,79446
2005:Q4,2398265,1193122,1145848,78934,765415,411524,330803,108925,1635335,130749
2006:Q1,2667702,1389646,1151504,78986,849264,440990,424238,4554,1556856,152830
2006:Q2,2828908,1506040,1249711,114821,858520,437238,315094,149254,1677491,287063
2006:Q3,1921692,1156958,943834,124000,596983,184056,15930,151821,1000477,344603
2006:Q4,2347910,1075620,656763,162621,990048,575304,121330,160912,1574904,351143
2007:Q1,2549695,843273,748279,110870,989669,520277,486257,230496,1785266,222654
2007:Q2,2752768,1237975,859976,138751,1230929,768673,55000,228864,1850320,415521
2007:Q3,2511169,854485,769712,181309,1303590,838946,220228,132866,2552634,192133
2007:Q4,2305371,785454,483897,169925,1090052,622286,320083,109782,1887309,176372
2008:Q1,2304633,699282,358758,144508,836729,487653,674976,93645,1496468,-105412
2008:Q2,1185882,-52391,99837,67224,823398,468877,338980,75895,876596,-6014
2008:Q3,3061055,483971,41245,-20082,578268,285963,1974367,24449,1196040,-508314
2008:Q4,1330496,-987121,-183548,-54401,126797,-178151,2221685,-30865,-654228,-194680
2009:Q1,1401485,-55070,183570,-83844,-327762,-286732,1642739,141579,-2131261,115008
2009:Q2,1792127,121669,151063,-148610,-358363,-250080,1859587,169234,-1976176,230639
2009:Q3,1172378,60276,-16128,-59524,-530185,-409613,1543146,99142,-1548457,178658
2009:Q4,808237,111325,52436,-86311,-441277,-320944,977840,160349,-1378870,383638
2010:Q1,1187720,-286995,-298104,-88259,-275750,-235584,1653678,96788,-295267,217406
2010:Q2,1688397,-60931,-70153,-72542,-275012,-254630,1999951,24390,-894569,-74370
2010:Q3,1697223,-226592,-208231,14711,186985,193838,1685984,50846,-779315,260423
2010:Q4,1572591,68607,-48871,33478,72157,82091,1244059,187769,-711909,347462
2011:Q1,959393,227068,22928,100880,36664,92843,785270,-89608,-191232,337491
2011:Q2,1292630,-60382,-79926,84228,340810,406957,1100128,-87926,-413343,385344
2011:Q3,1871074,-73838,-143663,107889,316900,386193,1614296,13716,-610815,-122977
2011:Q4,1555154,51539,-33979,144658,415306,456607,1055058,33251,-670646,49969
2012:Q1,1829843,108236,-91836,141364,374168,206656,1341436,6003,-166965,-60109
2012:Q2,2105025,24648,-94463,161139,464350,279329,1532157,83870,-750820,147392
2012:Q3,1782238,15379,-143013,143756,724561,550040,1032769,9529,522106,340094
2012:Q4,1596838,-26895,-98328,188461,907968,731363,815950,-100186,-355111,388474
2013:Q1,1783311,251963,-25325,200968,294699,200956,1227774,8875,261953,360791
2013:Q2,1165236,153657,-49163,151156,659534,545566,420908,-68863,-51263,144431
2013:Q3,1487599,131462,22540,179702,799262,690732,619242,-62365,-187429,249262
2013:Q4,2585964,716529,4996,178425,600790,479829,1161272,107373,838945,224485
2014:Q1,1964109,319123,-21518,240917,777907,505439,874342,-7264,16456,160502
2014:Q2,1594238,256070,-36369,236811,732122,454537,666144,-60098,117181,510932
2014:Q3,1220757,-196588,-30943,220807,773349,489321,884752,-240755,619044,149659
2014:Q4,1795437,233417,86759,177754,1013950,709359,518470,29601,369815,201935
2015:Q1,1568039,321414,35290,236180,962098,732847,216081,68446,5836,115537
2015:Q2,2455784,481012,160882,251450,1119177,863741,841148,14447,356747,78847
2015:Q3,1387643,317081,113105,247484,745866,484766,302191,22505,259504,-243579
2015:Q4,2602685,346836,170015,198829,758482,498628,1538868,-41502,194433,-34884
2016:Q1,2460216,403739,110657,266058,1143647,767678,871154,41676,657445,-128197
2016:Q2,2094162,499049,207183,226506,557890,166793,962268,74955,473992,43577
2016:Q3,2228838,546270,235430,247104,749708,366528,903730,29130,447435,-5253
2016:Q4,1228994,347668,231962,205182,262103,-140896,633508,-14285,-85528,248065
2017:Q1,1271889,587240,329494,197858,857724,401976,-105796,-67279,347588,305183
2017:Q2,2379760,584593,272837,172128,983828,521892,827851,-16512,501365,240569
2017:Q3,2256788,441425,268826,174123,816667,354134,1011913,-13217,639679,267457
2017:Q4,2311266,711566,314047,233155,841832,366555,660624,97244,-143612,671135
2018:Q1,2841486,541982,274522,182836,659328,378106,1723662,-83487,206097,393861
2018:Q2,2204224,478005,325998,121519,497626,211157,1224085,4507,106556,223820
2018:Q3,2310486,502678,331589,186901,770659,469603,1027498,9652,293926,258877
2018:Q4,2125897,427099,245219,199492,726351,423130,1057102,-84656,423804,100786
2019:Q1,2276330,387550,241152,180130,1031571,917422,923147,-65938,276822,-189937
2019:Q2,2007919,660770,338215,170211,648992,533483,754842,-56685,522312,362576
2019:Q3,3452693,575707,312266,206089,946143,844485,1904572,26271,671275,73046
2019:Q4,2154585,572468,260159,184169,369690,246684,1116927,95500,129790,37078
2020:Q1,5668296,553109,291450,36007,3323583,2986471,1762754,28849,4618431,-386808
2020:Q2,15314179,-75769,257446,-269143,2690876,1872326,12586159,112913,-1859761,186239
2020:Q3,2775928,882627,554175,106116,22948,-443344,1691939,178414,-2364,28422
2020:Q4,3465011,915258,474489,78865,210661,-272032,2283793,55300,1095442,585611
2021:Q1,3084286,1006417,586208,160957,894231,514206,1075628,108010,1000607,984191
2021:Q2,4578505,1309369,879944,302461,488330,310871,2677465,103341,860685,378905
2021:Q3,2285433,1274171,881902,229233,895634,681684,18947,96682,868384,935870
2021:Q4,5677767,1392707,933894,258621,1355646,658944,2961655,-32241,729744,235501
2022:Q1,5494124,1450800,1006470,343278,1534529,1048082,2586274,-77478,2280700,483182
2022:Q2,4251258,1333271,1022661,410650,1421351,930104,1443099,53538,1190995,408100
2022:Q3,3093075,1178672,807488,313124,826183,501532,1101168,-12948,1068133,495426
2022:Q4,2141262,580803,442480,315719,669419,239471,1057028,-165988,1956292,-195528
2023:Q1,2639149,469561,355025,197236,934454,646736,1195311,39823,2364426,102392
2023:Q2,4465815,612798,373637,171785,321165,208490,3440382,91471,-1230963,236909
2023:Q3,3856547,623853,466126,19487,273869,158069,2968263,-9437,-454282,120386
2023:Q4,3429040,450276,271640,129400,136194,-15944,2877783,-35213,746002,152105
2024:Q1,3339442,578132,279750,92666,834348,657855,1827921,99041,409309,311975
