date,FL152000005.Q,LM152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,FL154090005.Q,LM153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,LM154022005.Q,LM153061105.Q,LM153061705.Q,LM153062005.Q,LM153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153081115.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL163070005.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170005.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,LM155012605.Q,LM155012665.Q,LM165012665.Q,LM165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1092127,313686,229359,199326,30033,944,310,83073,778441,0,58145,62248,0,29392,17980,95,4629,6688,64759,48491,16268,0,135486,283079,1516,49353,86476,0,7987,55109,0,53423,33422,16332,161,2787,721,851,835,1037018,ND,ND,ND,ND,177547,170531,7016,16812,194291,533.7447108722382,165904,83.23249350310546
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1142485,340071,246931,216535,30396,1043,315,91782,802414,0,56366,64842,0,27990,17956,29,3724,6281,66995,50002,16993,0,142455,284821,3071,52104,95413,0,8357,63061,0,61273,37406,19374,177,3350,966,884,904,1079424,ND,ND,ND,ND,189268,182098,7170,16685,194338,555.4364761155507,179129,82.72519454129818
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1248246,387297,278126,243315,34811,1346,345,107480,860949,0,58927,67207,0,28544,16948,121,5465,6010,68212,50523,17689,0,164696,301715,3344,55049,104563,0,8692,76803,0,74845,45250,23947,319,4063,1266,951,1007,1171443,ND,ND,ND,ND,216815,209093,7722,19470,214823,545.3061403658967,198065,81.40270842323737
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1366090,430932,308963,270874,38089,1592,366,120011,935158,0,63356,72177,0,28451,16345,79,5740,6287,68597,49974,18623,0,184698,328507,3482,57777,118836,0,9276,85567,0,83447,51792,25350,550,4186,1569,1034,1086,1280523,ND,ND,ND,ND,239083,230970,8113,21708,237177,539.9017443341537,219082,80.87967099094044
1952:Q1,1384691,437115,311906,273170,38736,1634,365,123210,947576,0,62460,73469,0,30920,17164,123,7499,6134,68481,49829,18652,0,186382,331585,3612,58445,122766,0,9456,86224,0,84061,53066,24597,550,4229,1619,1058,1105,1298467,ND,ND,ND,ND,243077,234922,8155,22160,243408,533.452937369803,220104,80.57400153750412
1952:Q2,1411524,448848,322754,283505,39249,1682,366,124046,962676,0,60709,75744,0,33084,16894,0,9835,6355,68618,49705,18913,0,192554,332505,3696,59153,126980,0,9633,90411,0,88204,54798,26878,533,4300,1695,1084,1123,1321113,ND,ND,ND,ND,248065,239839,8226,22356,246447,536.0637659036767,228707,80.67124036613112
1952:Q3,1427379,453488,324183,284584,39599,1697,369,127239,973891,0,63520,77273,0,34755,18019,0,10606,6130,68829,49703,19126,0,192052,332825,3837,59892,131097,0,9811,93441,0,91189,56640,27965,466,4347,1771,1110,1142,1333938,ND,ND,ND,ND,253292,244989,8303,22578,253057,527.1294645914411,227944,80.09726477946757
1952:Q4,1435727,463998,334895,294752,40143,1728,375,127000,971729,0,65498,79651,0,35169,18216,-1,10957,5997,69176,49887,19289,0,181107,330661,3932,60665,135222,0,10648,97890,0,95595,58416,30522,417,4404,1836,1133,1162,1337837,ND,ND,ND,ND,254730,246477,8253,22903,258904,516.7310018628815,236336,80.18130496145912
1953:Q1,1448423,472950,340387,300182,40205,1787,380,130396,975473,0,66253,81545,0,35208,17435,52,11875,5846,69877,50258,19619,0,177850,329104,3867,61439,139501,0,10829,100207,0,97869,60006,30901,431,4618,1913,1154,1184,1348216,ND,ND,ND,ND,257805,249539,8266,22871,262968,512.6918957325666,240176,80.01012718950503
1953:Q2,1455147,481976,347238,306680,40558,1855,386,132497,973171,0,63017,84177,0,39045,20054,135,12743,6113,69783,49897,19886,0,168575,327737,3778,62199,143864,0,10996,104699,0,102319,62225,32672,571,4864,1987,1173,1207,1350448,ND,ND,ND,ND,260974,252691,8283,23108,266799,506.166714913969,244455,79.71012129907396
1953:Q3,1472267,493036,357332,316348,40984,1926,390,133388,979231,0,65644,85755,0,39364,19865,209,13542,5748,69946,49926,20020,0,163841,328684,3753,62937,148161,0,11146,107229,0,104806,64205,33354,347,4850,2050,1192,1231,1365038,ND,ND,ND,ND,266027,257666,8361,23329,266957,511.33261819167535,252143,79.70431297179056
1953:Q4,1496451,493418,355919,315055,40864,1980,394,135125,1003033,0,66782,87886,0,38681,18667,154,13873,5987,70364,50079,20285,0,177571,330215,4146,63647,152448,0,11293,110624,0,108158,65938,34614,478,4996,2132,1212,1254,1385827,ND,ND,ND,ND,267631,259300,8331,23209,267217,518.6148769215603,249117,79.070955864849
1954:Q1,1519099,498301,357485,316592,40893,2045,399,138372,1020798,0,65213,89888,0,39020,18775,140,14386,5719,70699,50207,20492,0,188597,330434,4512,64339,156688,0,11408,110496,0,107988,67351,32744,583,5086,2224,1233,1275,1408603,ND,ND,ND,ND,269632,261318,8314,23245,269931,521.8381243345401,249241,78.72624703087887
1954:Q2,1544606,501395,361814,320732,41082,2109,404,137068,1043211,0,64229,92829,0,38450,18010,140,14678,5622,71195,50378,20817,0,203774,330343,4895,65018,160991,0,11487,114312,0,111763,69614,34006,510,5311,2322,1255,1294,1430294,ND,ND,ND,ND,274140,265770,8370,23366,269820,530.0920675129325,251118,78.29527455944528
1954:Q3,1584295,510860,371385,329781,41604,2121,410,136944,1073435,0,68458,94440,0,37369,16498,152,15246,5473,71729,50622,21107,0,221809,331710,5469,65687,165191,0,11573,117763,0,115171,72336,34242,581,5615,2397,1277,1315,1466532,ND,ND,ND,ND,281457,272951,8506,23727,271778,539.6065369267637,257445,78.06544343064033
1954:Q4,1606807,520894,379599,337554,42045,2160,417,138718,1085913,0,68863,97182,0,37084,16121,147,15964,4852,72409,50986,21423,0,222894,333825,6110,66349,169529,0,11668,123092,0,120453,75356,35963,675,6047,2412,1298,1341,1483715,ND,ND,ND,ND,285717,277174,8543,24104,276713,536.1927935953938,262198,77.67586815739111
1955:Q1,1631784,527830,384467,341601,42866,2175,424,140764,1103954,0,68549,99274,0,38748,17475,39,16484,4750,72984,51188,21796,0,229229,335803,6525,67031,174001,0,11810,126315,0,123626,78237,35702,804,6442,2441,1318,1371,1505469,ND,ND,ND,ND,292176,283541,8635,24622,282103,533.6593253073553,263364,77.09696400186182
1955:Q2,1674019,540617,394908,350860,44048,2226,432,143051,1133402,0,66159,101868,0,40234,18056,117,17509,4552,73186,51097,22089,0,249979,336411,7186,67740,178721,0,11918,133426,0,130685,81697,38755,1386,6552,2295,1336,1405,1540593,ND,ND,ND,ND,299882,291122,8760,25283,288631,533.7585889542861,269163,76.71521404548824
1955:Q3,1718708,555200,406169,360688,45481,2313,442,146276,1163508,0,69652,103362,0,42276,19003,232,18360,4681,73478,51163,22315,0,264068,339575,7257,68498,183332,0,12009,138787,0,135989,85032,40543,1451,6701,2262,1356,1442,1579921,ND,ND,ND,ND,307099,298228,8871,26106,295107,535.3721878646587,275656,76.42505434059353
1955:Q4,1744755,565453,414487,367383,47104,2412,455,148099,1179302,0,70033,105783,0,43368,18614,605,19174,4975,73853,51128,22725,0,265346,343803,7839,69254,187850,0,12173,144426,0,141563,87936,42949,1799,6713,2166,1381,1482,1600329,ND,ND,ND,ND,312200,303275,8925,27175,299354,534.5942499610387,279447,76.06421636276039
1956:Q1,1789615,577329,424188,375328,48860,2484,466,150191,1212286,0,69369,107946,0,45534,20077,721,19569,5167,74568,51369,23199,0,281568,349606,8555,70104,192789,0,12247,146184,0,143246,90356,42251,1432,6770,2437,1413,1525,1643431,ND,ND,ND,ND,317925,308913,9012,28566,303616,541.2859429380081,284972,75.92612328416745
1956:Q2,1805172,588163,433166,383760,49406,2555,479,151963,1217009,0,67945,110925,0,46872,19863,958,20436,5615,74829,51155,23674,0,272443,354354,8613,71013,197659,0,12356,151445,0,148420,93327,44281,1388,6856,2568,1452,1573,1653727,ND,ND,ND,ND,326028,316861,9167,28677,308551,535.9656201170958,290433,75.6808943089431
1956:Q3,1827057,599569,440946,390218,50728,2651,491,155481,1227488,0,70647,112516,0,48602,20394,1115,21308,5785,75081,51105,23976,0,267405,357937,8506,71904,202457,0,12433,154832,0,151717,96174,44978,874,6905,2786,1493,1622,1672225,ND,ND,ND,ND,329543,320353,9190,29676,313182,533.9465677089006,294044,75.35377660692228
1956:Q4,1869847,608073,445773,394263,51510,2726,502,159072,1261774,0,71871,115230,0,49060,20090,959,21900,6111,75344,51017,24327,0,287754,360826,9046,72724,207371,0,12548,159599,0,156400,98745,46580,1181,7034,2860,1530,1669,1710248,ND,ND,ND,ND,330961,321804,9157,30191,319894,534.6294603562184,295518,74.95453542432335
1957:Q1,1884166,619052,453596,401222,52374,2824,516,162116,1265114,0,70801,118462,0,51600,21276,933,22537,6854,75288,50417,24871,0,274211,364547,9106,73468,214959,0,12672,160760,0,157483,100851,45242,1507,7006,2877,1563,1714,1723406,ND,ND,ND,ND,333488,324340,9148,30844,323789,532.2620685945615,300371,74.86404035671025
1957:Q2,1926428,630622,461358,408017,53341,2873,529,165862,1295806,0,68664,121985,0,52610,21603,1154,22812,7041,75287,49954,25333,0,290571,367267,9687,74135,222847,0,12753,165827,0,162473,103039,47223,1972,7317,2922,1594,1760,1760601,ND,ND,ND,ND,337726,328540,9186,31567,328145,536.5314664620448,304978,74.74639537078112
1957:Q3,1927846,639377,468792,414670,54122,2952,542,167091,1288469,0,71303,123872,0,54976,22998,1100,23526,7352,75328,49485,25843,0,264952,371022,9001,74784,230404,0,12828,168970,0,165541,105397,47971,1724,7327,3122,1625,1804,1758876,ND,ND,ND,ND,343225,333967,9258,32070,332482,529.0140237727876,309273,74.58292135915306
1957:Q4,1947673,643776,471674,417162,54512,3050,555,168497,1303897,0,70971,127167,0,55721,23231,1463,23851,7176,75453,49170,26283,0,266362,373179,8714,75462,237957,0,12911,172075,0,168574,107374,49217,1568,7160,3255,1658,1843,1775598,ND,ND,ND,ND,344802,335577,9225,32319,331974,534.8605003582583,309788,74.26083871493569
1958:Q1,1980193,644343,468427,414465,53962,3092,571,172253,1335850,0,70819,130705,0,56176,22603,1208,24382,7983,76047,49297,26750,0,280533,379183,9463,76183,243715,0,13027,171210,0,167639,108975,46775,762,7550,3577,1694,1877,1808983,ND,ND,ND,ND,346535,337306,9229,31755,333104,543.0685795113791,305490,73.70706814809454
1958:Q2,2011060,650043,474349,419841,54508,3155,589,171950,1361017,0,67287,134835,0,54438,22996,824,23317,7301,76774,49235,27539,0,294974,382512,10610,76958,249584,0,13045,174780,0,171146,111142,47704,333,8111,3856,1731,1903,1836280,ND,ND,ND,ND,349973,340694,9279,32252,336028,546.4664560209457,308699,73.527597352331
1958:Q3,2068831,660430,484262,429327,54935,3205,608,172355,1408401,0,72779,137708,0,52971,20619,798,23794,7760,77310,49142,28168,0,323831,385536,11791,77752,255559,0,13164,178356,0,174656,114035,47940,472,8280,3929,1769,1931,1890475,ND,ND,ND,ND,353189,343866,9323,32660,343668,550.0876249335045,315292,73.43866097403611
1958:Q4,2104823,670313,493819,438440,55379,3263,628,172603,1434510,0,73698,141266,0,54143,20770,833,24616,7924,77911,49024,28887,0,333702,387266,13242,78535,261505,0,13242,184146,0,180368,117177,49490,1239,8591,3871,1809,1969,1920677,ND,ND,ND,ND,357271,347883,9388,33054,348811,550.6353990291419,321263,73.27410820180641
1959:Q1,2127881,674223,493678,438052,55626,3341,648,176556,1453658,0,73247,143832,0,56944,22345,917,25460,8222,78234,48904,29330,0,339992,387977,14132,79331,266590,0,13379,186640,0,182564,119935,48991,781,8742,4115,2059,2017,1941241,ND,ND,ND,ND,361859,352401,9458,33193,353222,549.5810959072261,318117,72.62083040369637
1959:Q2,2162691,686600,504127,447672,56455,3414,669,178390,1476091,0,72429,147681,0,57963,22258,1523,26068,8114,78257,48318,29939,0,351618,387551,14973,80133,271973,0,13513,193675,0,189502,123346,51878,1016,8985,4277,2099,2074,1969016,ND,ND,ND,ND,366675,357143,9532,33771,360377,546.3766391494754,324326,72.44723815650744
1959:Q3,2181981,697397,513598,456362,57236,3487,690,179622,1484584,0,76003,149934,0,61011,23793,2011,27058,8149,77996,47682,30314,0,345702,387252,14747,80994,277284,0,13661,199890,0,195608,127007,53918,1320,8984,4379,2149,2133,1982091,ND,ND,ND,ND,371069,361474,9595,34306,362062,547.445081897126,329355,72.16968108650589
1959:Q4,2222380,706020,521544,463647,57897,3550,710,180216,1516360,0,75548,152525,0,64358,25512,2267,28362,8217,76515,45714,30801,0,364772,388616,15818,81956,282450,0,13801,206698,0,202312,130099,57213,1424,9206,4370,2199,2187,2015682,ND,ND,ND,ND,375628,365964,9664,34730,366634,549.7803354529144,333548,71.9400751002379
1960:Q1,2231531,720531,534527,475580,58947,3599,728,181677,1511000,0,73762,154522,0,69706,29565,1630,28972,9539,76522,45180,31342,0,344367,391557,15312,82895,288429,0,13927,207621,0,203144,132580,55757,908,9090,4809,2239,2238,2023910,ND,ND,ND,ND,378719,368884,9835,35352,371359,545.0008154553526,343000,72.12246099499559
1960:Q2,2256419,726936,539185,479638,59547,3672,747,183332,1529483,0,72042,158156,0,70504,28513,1909,30072,10010,76883,44773,32110,0,350355,392611,16097,83772,295014,0,14049,214480,0,209903,135366,58622,1572,9401,4942,2289,2288,2041939,ND,ND,ND,ND,381650,371646,10004,35641,375715,543.4808558184732,344272,71.7774655052352
1960:Q3,2256352,734741,545818,485654,60164,3726,766,184431,1521611,0,75669,161281,0,69857,27973,1294,30503,10087,77909,45089,32820,0,326084,395557,15640,84539,300892,0,14183,219062,0,214457,138582,59590,1526,9679,5080,2269,2336,2037290,ND,ND,ND,ND,383017,372882,10135,35972,377847,539.1838233997703,347072,71.46487005151816
1960:Q4,2315199,737552,547589,486897,60692,3760,784,185419,1577647,0,77538,164461,0,69154,26502,1033,31007,10612,79315,45740,33575,0,364813,398553,17026,85184,307270,0,14332,224545,0,219857,141378,61248,2122,9901,5208,2309,2379,2090654,ND,ND,ND,ND,384736,374461,10275,36253,379358,551.103153512124,345519,70.96346865969599
1961:Q1,2366505,736009,545980,484488,61492,3809,807,185413,1630496,0,75482,169701,0,67790,26023,359,30769,10639,79890,45465,34425,0,403502,400864,19440,85872,313474,0,14481,225306,0,220580,143645,59339,1795,10472,5329,2309,2417,2141199,ND,ND,ND,ND,385284,374871,10413,36863,383653,558.1082825211821,340843,70.35117484849987
1961:Q2,2395370,748133,556950,494136,62814,3863,830,186490,1647237,0,73819,175096,0,67904,24589,224,31610,11481,81431,46178,35253,0,403359,404519,20003,86665,319799,0,14643,231507,0,226650,146603,60597,2857,11139,5454,2409,2448,2163863,ND,ND,ND,ND,388602,377975,10627,37531,389432,555.6459963916676,347533,70.33144721291305
1961:Q3,2436081,759552,567010,502979,64031,3919,855,187768,1676529,0,76743,177733,0,68371,25921,244,31180,11026,81787,45777,36010,0,412972,409729,21007,87588,325795,0,14803,235782,0,230865,150179,61082,2725,11279,5600,2439,2478,2200299,ND,ND,ND,ND,390746,379938,10808,38165,396030,555.5889405991846,352800,70.14209340747824
1961:Q4,2499221,769614,576368,511054,65314,3989,882,188375,1729607,0,76926,182845,0,69387,25449,592,32506,10840,82589,45755,36834,0,443622,415778,22875,88631,331988,0,14966,242908,0,237897,154027,63435,2992,11700,5743,2499,2512,2256313,ND,ND,ND,ND,392649,381666,10983,38897,404186,558.2363287152476,357027,69.86091489353376
1962:Q1,2513600,779404,584759,518133,66626,4053,914,189678,1734196,0,75175,189204,0,69362,26353,567,31469,10973,83005,45628,37377,0,433425,420714,22981,89663,335565,0,15102,244235,0,239137,156488,62038,3202,11525,5884,2549,2549,2269365,ND,ND,ND,ND,395252,384018,11234,39640,409933,553.5940214027091,361645,69.79771603044006
1962:Q2,2425750,786518,590011,522112,67899,4122,946,191439,1639232,0,73040,196080,0,69118,26370,410,31384,10954,84263,46288,37975,0,329923,423949,18257,90651,338706,0,15245,251334,0,246168,160237,65435,3084,11362,6050,2579,2587,2174416,ND,ND,ND,ND,397273,385804,11469,40483,415826,522.9149392771334,361875,69.30984156656042
1962:Q3,2471417,793692,594920,525874,69046,4191,979,193602,1677725,0,75396,201423,0,70279,27948,286,31852,10193,84956,46550,38406,0,348575,428804,18796,91563,342545,0,15388,257549,0,252324,164345,66626,3259,11883,6211,2599,2626,2213868,ND,ND,ND,ND,399183,387482,11701,41175,419178,528.1449779704227,361529,68.74821725356264
1962:Q4,2583843,803569,603604,533162,70442,4245,1011,194709,1780274,0,77148,208828,0,69232,26699,235,32087,10211,85161,46155,39006,0,431479,432848,20909,92398,346726,0,15545,265044,0,259748,168307,69344,3450,12308,6339,2629,2667,2318799,ND,ND,ND,ND,400596,388676,11920,42005,424193,546.6376924110017,364855,68.43229637521053
1963:Q1,2621471,813441,611427,539625,71802,4309,1046,196659,1808030,0,78347,215765,0,65500,23170,9,31665,10656,85257,45933,39324,0,444237,434808,22156,93355,352905,0,15700,267954,0,262564,171352,68935,3160,12575,6542,2679,2711,2353517,ND,ND,ND,ND,404450,392433,12017,42743,429107,548.4685457065578,368273,68.24609682649988
1963:Q2,2663306,817641,612853,540004,72849,4372,1085,199331,1845665,0,77211,223030,0,64641,22610,0,31642,10389,87139,47046,40093,0,465592,434924,23306,94378,359582,0,15862,277471,0,271954,175801,72217,3756,13531,6649,2759,2758,2385835,ND,ND,ND,ND,406838,394765,12073,43466,433739,550.0624743487012,364203,67.44450041110807
1963:Q3,2712598,830885,623306,549322,73984,4448,1125,202006,1881713,0,79930,227746,0,65002,23997,0,31128,9877,87304,46985,40319,0,485481,434896,24118,95473,365745,0,16018,284988,0,279333,180662,74362,3373,14161,6775,2849,2806,2427610,ND,ND,ND,ND,406162,394123,12039,44232,440601,550.976934644425,368660,67.11182148175388
1963:Q4,2716266,839163,628622,553248,75374,4529,1168,204844,1877103,0,81977,234936,0,66655,24418,0,32094,10143,87856,47328,40528,0,457587,438464,24819,96635,371995,0,16178,293999,0,288207,185106,77870,3794,14502,6935,2939,2853,2422267,ND,ND,ND,ND,413165,400932,12233,44927,449437,538.9557588850025,368142,66.54194863786222
1964:Q1,2767083,843874,630274,553844,76430,4611,1211,207778,1923209,0,79273,240745,0,68234,25798,0,32475,9961,89168,48288,40880,0,486613,439357,26433,97719,379278,0,16389,297963,0,291997,188776,78041,3561,14538,7081,3068,2898,2469120,ND,ND,ND,ND,414604,402284,12320,45577,460392,536.3081276924987,365068,65.91531189287959
1964:Q2,2821047,860173,643749,565045,78704,4697,1252,210475,1960874,0,79831,247988,0,68446,25825,0,33112,9509,88453,47295,41158,0,501922,444665,27156,98806,386996,0,16611,307560,0,301501,193368,81812,4366,14718,7237,3118,2941,2513487,ND,ND,ND,ND,426442,413729,12713,46845,473838,530.4528142058703,371677,65.77830084329567
1964:Q3,2874215,869241,649814,569664,80150,4785,1294,213348,2004974,0,84639,253567,0,69385,25619,0,34138,9628,89905,48292,41613,0,518877,449034,28523,99913,394267,0,16863,314372,0,308218,198076,84142,3863,14749,7388,3168,2986,2559843,ND,ND,ND,ND,432798,419856,12942,47679,481587,531.5431327477243,371588,65.22932816537468
1964:Q4,2927146,884104,662499,579830,82669,4873,1334,215398,2043042,0,84785,261041,0,69875,24486,245,34854,10290,90360,48262,42098,0,530699,458149,28447,101051,401472,0,17163,323363,0,317126,202335,87352,5134,14765,7540,3198,3039,2603783,ND,ND,ND,ND,447207,433794,13413,49212,488675,532.8251072912185,377495,65.10442715968473
1965:Q1,2974919,895205,669614,585435,84179,4969,1375,219247,2079714,0,82442,268791,0,71018,27113,21,33771,10113,90861,48686,42175,0,544164,463182,29751,102149,409874,0,17481,326858,0,320493,205891,87645,4309,14930,7718,3268,3097,2648061,ND,ND,ND,ND,450855,437282,13573,49974,496020,533.8616562845417,379544,64.83110849197605
