date,FL384090005.Q,FL313011005.Q,FL383091005.Q,FL383020005.Q,FL383030005.Q,FL383034005.Q,FL382051005.Q,FL384022005.Q,FL383069105.Q,FL383061105.Q,FL383061705.Q,FL383062005.Q,FL383063005.Q,FL384023005.Q,FL383069005.Q,FL383065005.Q,FL383066005.Q,LM103092305.Q,LM383064105.Q,LM103092105.Q,LM383094905.Q,LM383064205.Q,FL153040005.Q,FL153050005.Q,FL383070005.Q,FL383078005.Q,FL383090005.Q,FL384194005.Q,FL384190005.Q,LM313111303.Q,FL713014003.Q,FL313112003.Q,FL384122005.Q,FL103169100.Q,FL313161105.Q,FL313161705.Q,FL383162005.Q,FL103163005.Q,FL384123005.Q,FL383168005.Q,FL383169005.Q,FL383165005.Q,FL153166000.Q,LM143192305.Q,FL313140003.Q,FL383170005.Q,FL143178005.Q,FL383190005.Q,FL143181105.Q,LM103164105.Q,LM143192105.Q,LM112090205.Q
1952:Q3,1185186,1671,98,122743,80122,0,679,63719,411,43255,626,13297,6130,96089,65283,22210,8596,538,192052,13289,333842,3837,59892,131097,58238,9832,17448,1161788,669807,0,0,2429,240775,346,167863,401,28695,43470,215433,27386,70872,89210,27965,584,6185,45852,17238,141311,491981,156907,2249,332825
1952:Q4,1188932,1557,75,124341,82530,0,247,65075,195,44401,601,13881,5997,97981,65669,22591,9721,555,181107,13706,331679,3932,60665,135222,58154,12707,19399,1156458,676875,0,0,2435,246730,331,171619,626,29657,44497,222026,28340,71634,91530,30522,596,6185,48251,17381,133271,479583,146628,2294,330661
1953:Q1,1195462,1578,102,122801,84448,0,256,65981,212,44425,644,14854,5846,98162,66202,23131,8829,570,177850,14065,330124,3867,61439,139501,60465,14570,19684,1150625,676107,0,0,2438,245767,370,168191,728,31221,45257,225253,28332,72371,93649,30901,614,6193,47682,16007,132153,474518,143052,2362,329104
1953:Q2,1194673,1506,74,119694,87159,0,0,68273,194,45496,650,15820,6113,99364,66491,23568,9305,586,168575,14472,328757,3778,62199,143864,59540,16945,19887,1140184,676249,0,0,2451,247810,297,168581,283,32379,46270,230461,28275,72997,96517,32672,620,6211,48039,15201,125455,463935,133816,2382,327737
1953:Q3,1199836,1561,85,124615,88695,0,815,70642,214,47211,703,16766,5748,100125,67097,23811,9217,599,163841,14825,329707,3753,62937,148161,61159,7859,20457,1150619,690214,0,0,2458,256385,347,175018,425,33795,46800,233992,28477,73143,99018,33354,637,6236,49294,17399,123813,460405,129274,2447,328684
1953:Q4,1224390,1471,114,124221,91085,0,175,71281,204,47249,670,17171,5987,101597,67423,24067,10107,611,177571,15124,331240,4146,63647,152448,57671,10462,21527,1193225,716422,0,0,2469,262493,402,176814,2253,35012,48012,236439,27329,73136,101360,34614,651,6259,48763,17986,141362,476803,144082,2506,330215
1954:Q1,1241139,1429,115,122073,93465,0,-216,70533,312,46064,705,17733,5719,100674,67536,24228,8910,623,188597,15408,331452,4512,64339,156688,59058,10700,21689,1214004,724753,0,0,2491,260941,525,172200,2911,36516,48789,236695,27198,73432,103321,32744,665,6246,47800,14340,155575,489251,156255,2562,330434
1954:Q2,1263847,1439,128,123265,96499,0,0,67067,338,42350,716,18041,5622,101298,67340,24566,9392,639,203774,15801,331341,4895,65018,160991,58627,11344,21720,1251716,746189,0,0,2501,261991,484,171915,2002,37866,49724,240909,26719,73818,106366,34006,686,6187,48012,11324,174579,505527,172550,2634,330343
1954:Q3,1292233,1264,150,126042,98272,0,1006,67744,300,42502,758,18711,5473,101796,67510,25016,9270,648,221809,16001,332710,5469,65687,165191,61375,4959,22110,1307947,781544,0,0,2503,266541,584,175045,537,39376,50999,245076,26883,74194,109757,34242,702,6087,50250,13163,197223,526402,191985,2707,331710
1954:Q4,1312864,1302,158,128537,101071,0,172,68786,291,43433,807,19403,4852,103852,67936,25463,10453,663,222894,16373,334920,6110,66349,169529,61403,7748,22996,1336669,805305,0,0,2505,273611,531,178532,2338,40663,51547,251897,27097,75257,113580,35963,701,5960,52964,14767,202901,531363,194840,2698,333825
1955:Q1,1335729,1221,147,126734,103100,0,402,70960,281,44996,928,20005,4750,103532,68345,25888,9299,675,229229,16656,336900,6525,67031,174001,64619,10625,23372,1356159,815458,0,0,2508,271278,500,173973,2595,42155,52055,256352,27574,75820,117256,35702,720,5861,53196,12936,212607,540701,202122,2776,335803
1955:Q2,1373358,1235,127,127232,105740,0,0,72108,352,45092,1089,21023,4552,104672,68402,26293,9977,693,249979,17144,337510,7186,67740,178721,65670,13899,23702,1417362,852556,0,0,2507,270973,380,172997,1550,43267,52779,266542,29544,76587,121656,38755,744,5809,55339,12026,238616,564806,225533,2862,336411
1955:Q3,1403510,1198,123,129657,107052,0,1136,76363,245,48172,1233,22032,4681,105137,68534,26557,10046,707,264068,17493,340678,7257,68498,183332,70190,6431,24190,1472848,889347,0,0,2507,274391,371,175191,908,44668,53253,274326,30930,76957,125896,40543,762,5810,60053,15248,256249,583501,240995,2931,339575
1955:Q4,1429534,1168,129,130692,109496,0,721,80496,217,50831,1601,22872,4975,106722,68444,27035,11243,728,265346,17992,344912,7839,69254,187850,71053,9614,25522,1507953,916971,0,0,2507,280423,362,178189,1611,45697,54564,283419,33198,77449,129823,42949,768,5795,64079,18430,261549,590982,244222,2957,343803
1956:Q1,1463201,1127,95,129507,111805,0,563,80725,171,50153,1676,23558,5167,106255,68638,27530,10087,750,281568,18536,350720,8555,70104,192789,73141,10816,26145,1549871,934878,0,0,2509,277621,362,173724,1617,46932,54986,287872,34309,78054,133258,42251,792,5853,63450,15133,281648,614993,262345,3042,349606
1956:Q2,1470661,1076,141,128958,114765,0,0,79223,325,47061,1950,24272,5615,107280,68659,28029,10592,775,272443,19186,355471,8613,71013,197659,74724,13022,26312,1543015,932837,0,0,2512,273741,289,168502,1151,47853,55946,296233,36212,78415,137325,44281,812,5943,65652,12175,275769,610178,252704,3120,354354
1956:Q3,1479920,1231,119,130063,116193,0,1878,81187,371,47748,2181,25102,5785,107646,68641,28348,10657,809,267405,19990,359096,8506,71904,202457,78780,5839,26817,1550918,942959,0,0,2517,276845,401,169476,917,49038,57013,301620,36770,78768,141104,44978,828,6029,68133,14259,272728,607959,246833,3189,357937
1956:Q4,1522148,1776,138,131593,118960,0,1292,83060,305,48796,2126,25722,6111,109417,68963,28746,11708,846,287754,20894,361991,9046,72724,207371,78337,8655,28294,1616312,983871,0,0,2526,282273,378,172637,1356,49862,58040,308438,38207,79204,144447,46580,843,6098,70286,16754,296653,632441,268373,3242,360826
1957:Q1,1529340,1718,198,131212,122386,0,1118,85357,355,49459,2268,26421,6854,108017,68332,29386,10299,870,274211,21482,365796,9106,73468,214959,80493,10111,28838,1596993,975148,0,0,2533,283653,353,171487,1378,50925,59510,310513,38598,79383,147290,45242,852,6144,69717,14218,287517,621846,254023,3276,364547
1957:Q2,1560571,1791,176,129147,126034,0,0,84516,349,47836,2601,26689,7041,108527,67622,29947,10958,917,290571,22680,368521,9687,74135,222847,80034,11913,29075,1643851,1000184,0,0,2544,280114,320,166057,926,51836,60975,317794,40679,79646,150246,47223,863,6166,69546,11957,311200,643666,273076,3323,367267
1957:Q3,1552748,2045,153,131933,127954,0,2242,87492,345,49638,2607,27550,7352,108737,67303,30595,10839,936,264952,23106,372282,9001,74784,230404,81801,5218,29709,1612164,992418,0,0,2552,287417,364,170669,704,53192,62488,321213,40193,79447,153602,47971,865,6178,70913,13511,289769,619746,245392,3332,371022
1957:Q4,1570666,2080,131,130920,131251,0,1820,89026,435,50480,3015,27920,7176,110402,67427,31203,11772,955,266362,23569,374447,8714,75462,237957,79313,7776,30481,1633628,1011249,0,0,2562,292385,422,171843,1679,54369,64072,325479,40271,79350,156641,49217,898,6185,73210,14621,295909,622379,245747,3453,373179
1958:Q1,1602334,2174,160,129438,135958,0,1758,87975,746,48323,2658,28265,7983,109693,67761,31794,10138,965,280533,23878,380457,9463,76183,243715,81398,7945,30642,1670100,1026076,0,0,2578,294817,716,170060,2275,55829,65937,324985,38179,80695,159336,46775,916,6192,70549,11495,314544,644024,261319,3522,379183
1958:Q2,1634157,2187,132,132596,141323,0,0,84211,455,46731,2020,27704,7301,111133,67786,32695,10652,990,294974,24479,383782,10610,76958,249584,81346,8814,31038,1719480,1054804,0,0,2590,299356,791,173354,1222,56972,67017,330000,38118,81269,162909,47704,936,6203,72211,8991,334517,664676,278565,3599,382512
1958:Q3,1680682,2178,172,132802,143743,0,2093,83741,224,45265,1996,28496,7760,112251,68042,33434,10775,1005,323831,24832,386811,11791,77752,255559,86488,4081,31551,1803020,1103272,0,0,2593,302976,795,173914,1291,58513,68463,334440,38104,81180,167216,47940,955,6219,76053,10322,369714,699748,310541,3671,385536
1958:Q4,1718518,2041,149,136377,147082,0,1417,87967,210,48489,2033,29311,7924,114682,68315,34444,11923,1028,333702,25415,388546,13242,78535,261505,86439,7815,32576,1860136,1144522,0,0,2600,312886,658,181096,1598,59819,69715,343673,40177,81933,172073,49490,957,6241,79577,12026,386563,715614,324670,3678,387266
1959:Q1,1738556,1871,143,133575,149541,0,204,92541,502,51473,2181,30163,8222,114723,68484,35359,10880,1049,339992,25930,389266,14132,79331,266590,88841,7368,33459,1884793,1161023,0,0,2606,314788,652,181118,1314,61397,70307,347604,39592,82836,176185,48991,983,6268,80573,11682,396519,723770,332012,3781,387977
1959:Q2,1769425,2186,137,134334,153359,0,0,95089,622,52527,3002,30824,8114,116289,68268,36447,11574,1080,351618,26670,388848,14973,80133,271973,90504,8121,34111,1932366,1194459,0,0,2621,317354,458,182046,1026,62655,71169,359397,42409,83788,181322,51878,1015,6299,82540,12591,412642,737907,346451,3905,387551
1959:Q3,1782300,2346,145,137980,155031,0,998,100723,240,56479,3604,32251,8149,116416,67795,37145,11476,1099,345702,27150,388558,14747,80994,277284,92582,6210,34336,1938745,1207619,0,0,2626,324345,527,186548,939,64594,71737,367352,43613,83371,186450,53918,1039,6327,83462,13275,409193,731126,339875,3999,387252
1959:Q4,1818627,2110,132,138071,157489,0,576,105819,742,59975,4015,32870,8217,117151,65791,37817,13543,1118,364772,27634,389934,15818,81956,282450,91217,7114,35265,2005350,1250558,0,0,2639,329867,315,190148,949,65661,72794,377218,45206,83671,191128,57213,1046,6350,85815,14150,433473,754792,362157,4019,388616
1960:Q1,1812217,1993,121,133600,159418,0,154,110552,740,62751,3413,34109,9539,115052,65535,38335,11182,1140,344367,28172,392887,15312,82895,288429,95486,5752,36886,1969215,1234255,0,0,2652,328320,427,186451,978,67248,73216,380841,45349,84786,194949,55757,1065,6371,87271,12817,414918,734960,339310,4093,391557
1960:Q2,1832696,1928,140,135530,163281,0,0,109853,757,60271,3890,34925,10010,116612,65375,39191,12046,1153,350355,28488,394029,16097,83772,295014,95268,4498,36678,2000783,1256445,0,0,2661,328285,547,184325,953,68353,74107,391684,47278,86489,199295,58622,1075,6389,87983,11903,426464,744338,347588,4139,392611
1960:Q3,1829412,1851,191,139161,166943,0,155,107949,648,58194,3281,35739,10087,117553,65829,40044,11680,1165,326084,28811,396996,15640,84539,300892,98438,5557,37486,1966779,1245735,0,0,2673,332217,782,186230,392,69924,74889,397152,46950,86509,204103,59590,1094,6406,89518,11795,404880,721044,321285,4202,395557
1960:Q4,1885511,1693,148,139445,172280,0,-176,106765,788,55993,3236,36136,10612,120424,66618,40981,12825,1192,364813,29478,400078,17026,85184,307270,96869,6148,36874,2075473,1307533,0,0,2686,336994,769,188350,688,70971,76216,405766,48631,87478,208409,61248,1098,6426,90718,12560,451286,767939,365166,4220,398553
1961:Q1,1934479,1659,189,133215,178156,0,79,105003,562,54829,2618,36355,10639,119418,66879,41979,10560,1222,403502,30171,402397,19440,85872,313474,98947,4215,37519,2170028,1354529,0,0,2691,336242,623,185688,934,72420,76577,408625,48407,88626,212253,59339,1113,6447,90378,10921,498111,815499,410353,4282,400864
1961:Q2,1958943,1868,213,134841,184513,0,0,105067,613,53171,2586,37216,11481,121628,67349,42970,11309,1248,403359,30831,406058,20003,86665,319799,101283,3343,38224,2191423,1370984,0,0,2707,339156,726,185994,656,73250,78530,417581,49414,90414,217156,60597,1135,6469,91591,10584,501761,820440,411555,4366,404519
1961:Q3,1998447,2214,238,139747,187881,0,556,104451,245,52999,3003,37178,11026,122871,67553,43931,11387,1278,412972,31568,411273,21007,87588,325795,105238,5592,38177,2240921,1403159,0,0,2723,346749,1017,191041,436,75018,79237,423826,49254,90699,222791,61082,1146,6493,93622,11557,517044,837761,423621,4411,409729
1961:Q4,2056828,1911,236,142254,192694,0,-55,106535,1089,53547,3395,37664,10840,125558,67846,44965,12747,1299,443622,32088,417501,22875,88631,331988,103454,7500,38737,2299166,1441393,0,0,2740,353255,1094,194206,995,76349,80611,435341,51036,91901,228969,63435,1125,6519,95425,13274,533714,857773,437674,4321,415778
1962:Q1,2061993,1686,234,137260,200976,0,41,107015,562,54546,3377,37557,10973,125302,68365,45629,11308,1316,433425,32538,422446,23012,89663,335565,105359,6286,39869,2301738,1448734,0,0,2748,356201,1131,194302,1294,78037,81437,438740,50908,92492,233302,62038,1132,6548,94865,12916,535585,853004,427931,4359,420714
1962:Q2,1974082,1665,296,140088,208275,0,0,105863,907,53651,3219,37132,10954,128332,69613,46293,12426,1342,329923,33183,425688,18339,90651,338706,106029,5511,40190,2225588,1470628,0,0,2757,358632,1092,194009,1347,79203,82981,451266,52705,93694,239432,65435,1151,6579,95661,13001,541581,754959,326582,4428,423949
1962:Q3,2017638,1238,788,141836,212711,0,912,106303,1079,54174,3307,37550,10193,129263,70018,46792,12453,1367,348575,33766,430549,18930,91563,342545,110294,6303,40695,2265766,1487126,0,0,2749,361122,1363,194901,748,80552,83558,460087,53636,94034,245791,66626,1163,6612,98788,13996,542609,778640,345363,4473,428804
1962:Q4,2125458,1209,790,146503,220547,0,466,106412,1304,54163,3377,37357,10211,131343,70157,47481,13705,1392,431479,34401,434723,21077,92398,346726,108083,7668,40241,2371505,1509711,0,0,2760,368933,1198,199754,1538,81800,84643,473401,56249,95370,252438,69344,1205,6644,99857,14355,542556,861794,424314,4632,432848
1963:Q1,2155195,1265,828,141311,228678,0,-1,107435,1092,55644,2519,37524,10656,130789,70667,47806,12316,1427,455928,35258,436690,22343,93355,352905,110935,6303,29746,2407637,1520168,0,0,2769,371335,1214,199827,1739,82976,85579,478944,55534,97032,257443,68935,1218,6677,100006,13596,545622,887470,447981,4681,434808
1963:Q2,2202638,1312,1065,145655,235910,0,0,106497,1008,54260,2998,37842,10389,133770,72233,48280,13257,1460,477618,36117,436814,23499,94378,359582,112492,5954,30514,2450362,1541623,0,0,2779,372989,987,199094,1489,84724,86695,494631,57746,100022,264646,72217,1246,6711,101293,13743,548230,908739,469026,4789,434924
1963:Q3,2243398,1237,1000,145840,240571,0,1004,106862,445,55565,2890,38085,9877,134377,72406,48491,13480,1486,497749,36697,436792,24313,95473,365745,115717,7541,30994,2487364,1559904,0,0,2788,374504,1111,199333,936,85899,87225,504671,57723,100522,272064,74362,1271,6744,103789,14713,551424,927461,487677,4888,434896
1963:Q4,2244702,1229,731,150559,248976,0,-745,109226,969,55860,4039,38215,10143,136959,73254,48807,14898,1519,470253,37562,440374,25022,96635,371995,114839,9301,30267,2498450,1589426,0,0,2806,380000,968,202211,1367,87040,88414,520618,61148,102344,279256,77870,1243,6775,107614,15744,554626,909024,465779,4781,438464
1964:Q1,2291800,1173,867,145011,256090,0,-875,111960,1341,58450,3628,38580,9961,137905,74908,49232,13765,1548,499839,38273,441259,26647,97719,379278,116535,7896,30675,2537262,1598026,0,0,2825,381972,948,202520,1236,88177,89091,527172,60508,103746,284877,78041,1260,6803,105281,15109,557604,939236,495027,4852,439357
1964:Q2,2337418,1053,978,149349,263377,0,169,111725,1058,57511,3954,39693,9509,138571,74614,49520,14437,1586,515490,39188,446620,27381,98806,386996,118230,6902,30997,2580767,1620070,0,0,2841,383368,889,200805,1364,89948,90362,543543,63447,106081,292203,81812,1283,6827,106843,14675,560690,960697,511094,4938,444665
1964:Q3,2390128,940,1243,153680,269003,0,479,112245,1729,56814,3920,40154,9628,141060,76405,50037,14618,1620,532743,40064,450966,28761,99913,394267,124154,7735,31255,2626764,1643796,0,0,2855,388577,1081,203501,1177,91760,91058,554122,63687,106520,299773,84142,1295,6851,110357,15338,564401,982968,528953,4981,449034
1964:Q4,2433291,1034,1097,154535,277796,0,-1449,113230,1694,56300,4189,40757,10290,143661,77022,50579,16060,1658,544543,40974,460143,28700,101051,401472,124302,9005,31538,2685419,1676383,0,0,2830,395682,1125,206767,2222,93160,92408,569573,67875,107312,307034,87352,1282,6879,115609,16211,568317,1009035,545955,4931,458149
1965:Q1,2475058,939,1033,150005,287205,0,-568,114906,995,58802,4115,40881,10113,143809,78233,50674,14902,1718,558249,42446,465186,30021,102149,409874,127718,7825,32543,2721280,1693194,0,0,2864,397332,847,206174,2308,94661,93342,579251,69738,109137,312731,87645,1319,6910,116450,15891,573177,1028085,559834,5069,463182
1965:Q2,2483708,1677,822,154025,294492,0,198,113566,678,56985,4780,41454,9669,145739,79124,50914,15701,1773,534934,43805,470089,29580,103382,418356,130860,6529,33881,2732237,1719646,0,0,2901,397464,727,202972,1966,96858,94941,597188,73358,111577,320010,92243,1320,6944,119293,15316,579221,1012591,539451,5073,468067
1965:Q3,2564710,1306,892,154536,301133,0,875,115266,893,56869,5249,42290,9965,146561,79945,50901,15715,1809,581546,44718,473963,32359,104656,427077,137067,7586,33359,2806426,1741361,0,0,2949,400185,926,201452,2268,98905,96634,607962,74390,111786,327395,94391,1352,6979,123393,16329,582213,1065064,587928,5206,471930
1965:Q4,2657876,1396,781,159697,309943,0,-115,116030,1370,56846,5515,43298,9001,149896,81364,51266,17266,2074,616587,51270,487082,34740,105876,435522,138547,9731,38819,2893769,1779661,0,0,3064,408149,797,207025,2670,100397,97260,625927,79894,114034,334510,97489,1368,7013,129321,18294,586525,1114107,623812,5256,485039
1966:Q1,2667444,1233,884,153308,316489,0,247,123783,2375,61580,6224,43875,9729,149566,82173,51520,15873,2112,597014,52197,489857,35677,107049,445412,142719,8980,40916,2899385,1800007,0,0,3242,412955,820,206960,3110,101842,100223,634963,80333,116275,341259,97096,1394,7042,128729,18132,593551,1099377,606267,5368,487742
