date,FU224090045.Q,FU223020043.Q,FU223030043.Q,FU223034043.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064243.Q,FU223090045.Q,FU223073045.Q,FU223093043.Q,FU224190043.Q
1988:Q4,21290,-326,628,3,-285,4081,-285,1919,-4210,-89,6746,17,3819,-438,13791,12186,1605,21297
1989:Q1,22166,-725,1007,99,137,10569,137,398,2573,-66,7527,-471,1852,-203,9901,9285,616,22172
1989:Q2,22724,-92,295,171,33,10687,33,607,6008,-64,4103,-14,3526,-58,8176,6990,1186,22731
1989:Q3,23283,-295,432,11,173,5241,173,1534,3465,-67,136,177,3501,112,13931,12650,1281,23290
1989:Q4,23842,-127,210,181,-823,4736,-823,-802,3810,-68,2619,4,5170,-404,14895,13826,1069,23849
1990:Q1,24350,619,-581,138,266,16475,266,10368,3011,211,2619,-118,-1161,-186,8898,8558,340,24359
1990:Q2,24889,528,-526,-116,1441,7235,1441,5537,1871,7,-1621,62,4553,881,10831,9611,1220,24898
1990:Q3,25429,398,-151,-75,410,2422,410,1846,5170,-241,-4763,68,7305,-791,15843,16047,-204,25437
1990:Q4,25968,258,-101,53,413,-6371,413,-1912,1596,228,-6696,750,11832,599,18535,18329,206,25976
1991:Q1,26922,-608,6957,-69,1552,4587,1552,8909,84,-109,-5849,501,8766,1526,3710,7631,-3921,26930
1991:Q2,27627,274,-2428,82,2730,3934,2730,1609,1716,123,-2244,-240,5575,660,17040,16187,853,27635
1991:Q3,28332,-1602,-2328,202,4355,-2921,4355,-14805,-100,62,7567,353,10076,1651,18546,18277,269,28339
1991:Q4,29037,769,-1074,-56,-2002,-3798,-2002,1546,-6513,70,3101,211,14670,1183,19134,19545,-411,29044
1992:Q1,30051,153,-422,20,431,9688,431,6410,-2630,-65,5542,-713,2108,1113,17673,17556,117,30061
1992:Q2,30879,475,-48,9,1386,5218,1386,6055,-6172,-20,3969,893,5224,1216,16506,16503,3,30890
1992:Q3,31710,1974,-448,111,2888,16400,2888,19718,-1200,-156,-4850,-760,656,198,10691,11395,-704,31720
1992:Q4,32539,106,-968,16,1107,6266,1107,5857,-8275,67,7510,147,5860,1736,18269,17762,507,32550
1993:Q1,32000,-679,649,340,539,-1236,539,1416,-7021,15,3815,-808,15645,1223,16327,16234,93,32013
1993:Q2,32283,293,1010,320,1125,11732,1125,6428,-662,157,4684,-1139,-682,1343,18281,18193,88,32296
1993:Q3,32566,-669,-47,23,-6457,17073,-6457,10455,2071,605,10399,549,6218,1817,14059,14482,-423,32579
1993:Q4,32847,1159,-2324,335,562,1212,562,-4383,1647,149,3237,-526,12074,1686,18669,18862,-193,32862
1994:Q1,33424,-1143,-361,388,-50,5334,-50,6885,4792,-655,-5638,108,6453,1071,21624,21911,-287,33433
1994:Q2,33822,318,-349,251,2510,-494,2510,-3694,4426,129,-3865,304,8276,1310,21696,21444,252,33831
1994:Q3,34220,1343,-2884,44,2184,654,2184,-3271,-6624,259,8106,83,2192,2135,28469,27912,557,34229
1994:Q4,34619,-400,-153,151,2732,3928,2732,-1816,1482,8,1522,175,9146,14615,4425,4469,-44,34628
1995:Q1,35092,-1598,53,113,1694,20412,1694,9419,4793,-59,4565,198,-4550,3858,14912,15272,-360,35102
1995:Q2,35521,-452,58,372,1738,1377,1738,-7752,3402,78,3911,161,6159,3173,22935,22581,354,35531
1995:Q3,35949,458,1615,171,-1874,2225,-1874,-5939,8125,243,1670,188,8550,1833,22783,22530,253,35960
1995:Q4,36378,-938,255,280,2094,6345,2094,-3088,6926,456,-43,192,8006,1864,18280,18313,-33,36389
1996:Q1,37069,565,505,436,-5049,15176,-5049,5334,6113,441,8337,188,-2022,-331,27601,27246,355,37079
1996:Q2,37603,1111,-1098,263,1751,14195,1751,7539,983,-974,4896,198,-2249,23,23409,23127,282,37613
1996:Q3,38136,1303,-1597,395,-606,-11578,-606,-7628,-5177,-801,2634,202,22989,383,26645,26815,-170,38146
1996:Q4,38668,280,19,604,649,9964,649,-648,3585,65,6313,208,-555,2143,25356,25105,251,38679
1997:Q1,38907,-2113,2728,734,-827,19531,-827,-1653,10141,1490,10380,212,647,-55,18050,18633,-583,38919
1997:Q2,39323,3467,-2719,363,4838,16517,4838,3769,35,8,7867,214,-4552,4314,16881,16644,237,39335
1997:Q3,39739,-2315,521,1142,-85,15387,-84,8624,2810,408,3629,222,5170,2315,17382,17224,158,39750
1997:Q4,40154,-1191,-403,-187,-3532,7611,-3533,-4534,5398,-964,11244,225,8174,1914,27543,27296,247,40166
1998:Q1,40885,1352,-767,66,8311,15283,8311,-6851,3110,577,10136,1066,-13948,5387,24135,23948,187,40898
1998:Q2,41426,944,-32,49,-1088,17588,-1088,1064,7925,147,9540,2008,-7791,-50,29798,29647,151,41440
1998:Q3,41968,139,96,43,2470,14193,2470,-5387,6779,-76,10407,818,-4606,-262,29077,29190,-113,41982
1998:Q4,42509,2224,266,147,-777,11333,-777,4753,1284,1101,4972,911,-1805,6924,23286,23277,9,42524
1999:Q1,43190,-2373,186,597,3505,18059,3505,-1113,7002,1284,7381,383,-12165,3851,31147,30701,446,43204
1999:Q2,43788,1850,-518,422,-128,3766,-128,2327,1826,-1295,1036,1175,5227,-981,32975,32709,266,43801
1999:Q3,44385,-80,469,768,-1650,9815,-1650,-9000,-2093,-119,22677,-113,5506,-3061,32731,32685,46,44398
1999:Q4,44982,-145,-428,48,1116,10599,1116,-5966,16183,-78,-656,1832,-4727,2273,34414,33870,544,44995
2000:Q1,45595,1875,708,16,5025,13697,5025,-1924,-4522,-144,15262,-1387,-6976,3657,28980,29117,-137,45611
2000:Q2,46199,1678,469,307,-221,3673,2252,-2014,18791,-64,-15292,441,7120,10421,22311,22056,255,46216
2000:Q3,46803,-222,1869,807,-3322,5874,-847,-9415,15791,-564,909,-2960,44164,15118,-14525,-14762,237,46821
2000:Q4,47408,-2621,-3132,306,-2021,16572,452,-6414,19791,-565,3308,341,-32664,20681,49946,49199,747,47426
2001:Q1,48407,-1622,-131,607,-3821,-23228,-1348,-1715,-2809,236,-17592,-260,44683,11466,20713,19579,1134,48421
2001:Q2,49167,4978,469,607,2679,10874,5152,5786,18591,-164,-18491,-1359,13379,2517,15023,14979,44,49181
2001:Q3,49928,78,-131,507,-2322,-29627,153,-16315,-16309,-1064,3908,441,53076,4290,23616,22799,817,49942
2001:Q4,50692,-1921,-32,506,-2421,-10727,52,-11714,2391,936,-2392,40,3973,7547,53727,53938,-211,50703
2002:Q1,51275,678,769,507,-1521,7372,952,8186,1191,-965,-1992,-59,20276,8822,14431,15538,-1107,51279
2002:Q2,51963,-1931,127,-1004,391,-23039,-653,-14354,-5672,119,-2479,-140,23916,3249,50394,52953,-2559,51966
2002:Q3,52650,801,-475,-2478,-146,-53963,-1166,-9806,-2093,-37,-40861,673,139106,18701,-49569,-47482,-2087,52652
2002:Q4,53337,2429,-46,7897,464,-30216,3716,-5222,-1475,20,-27255,405,-76586,6545,142445,136460,5985,53339
2003:Q1,53339,1899,-186,4516,266,-4411,2125,4808,11831,13,-23188,-1633,91554,17116,-55782,-56363,581,53343
2003:Q2,53753,-1793,-1155,-19003,-1118,8301,-8943,11123,19020,-8,-12891,2566,-160676,-5942,232573,226366,6207,53757
2003:Q3,54167,-196,188,-10777,-634,12508,-5071,-11717,16744,1863,10689,2108,-4263,7053,48180,46538,1642,54171
2003:Q4,54580,4244,455,7558,445,50811,3556,-1348,31018,1815,15770,-7242,-83801,2108,80002,74369,5633,54584
2004:Q1,54893,4975,500,10576,622,39982,4977,449,33983,1802,-1229,-3019,-52988,-223,54468,54836,-368,54925
2004:Q2,55277,-2897,26,-21935,-1290,42673,-10322,-2307,33007,2124,20171,3112,55534,25935,-45881,-54384,8503,55310
2004:Q3,55661,1058,-39,4550,289,-41350,2626,6268,-26295,-1949,-22000,-2976,-13985,-23328,131442,138330,-6888,55695
2004:Q4,56045,-3188,-468,-4315,-235,67949,-1626,11321,-17817,-1711,77782,-541,78017,1136,-82311,-90435,8124,56080
2005:Q1,56279,-610,-207,1039,84,10174,984,15787,-6778,-1615,1796,-2350,34763,-4412,17798,18119,-321,56308
2005:Q2,56601,563,-89,3406,229,-50804,2237,443,-35865,-1700,-15919,-235,1672,-2270,104129,99708,4421,56631
2005:Q3,56922,-1964,118,-4563,-256,10089,-1864,-10514,4846,76,17545,-2074,-61868,-14004,131444,131953,-509,56953
2005:Q4,57243,2386,411,6763,442,37120,4135,5877,28576,75,-1543,1743,-7577,-2244,18199,16470,1729,57276
2006:Q1,58068,-789,197,-1511,-68,4756,-239,-6905,8788,86,3026,783,77780,11826,-34906,-45502,10596,58087
2006:Q2,58582,-597,210,-1006,-36,27888,23,-996,18819,91,9951,1149,-13870,-10957,55801,61508,-5707,58604
2006:Q3,59099,-255,10,2629,194,-480,2106,1152,-13164,-141,9567,2181,-38813,-3789,97422,96169,1253,59122
2006:Q4,59616,15,44,3309,241,25116,2593,4099,2893,-99,15630,-1007,-64712,-2244,98854,94562,4292,59640
2007:Q1,60504,-1256,-119,-188,20,-23697,592,-11349,-38396,-93,25549,1413,-9747,-5302,99380,101164,-1784,60550
2007:Q2,61174,1223,199,6431,455,81033,4692,18546,18097,-72,39770,1676,22494,-1205,-51132,-54426,3294,61224
2007:Q3,61845,-2631,-465,-10512,-658,-18415,-5802,-5816,-10666,-64,3933,1794,-17258,-11193,121183,114860,6323,61899
2007:Q4,62516,115,-85,-731,-17,16068,232,-16606,-26690,35,59097,7807,19860,-16016,35515,38849,-3334,62573
2008:Q1,63372,2003,176,5811,425,-9535,4559,-6641,-10597,-31,3175,-1519,78506,-6495,-6000,-2675,-3325,63423
2008:Q2,64116,-21,-103,-1259,-48,17263,-26,388,-5604,-53,22558,-8485,68607,-16844,5006,6934,-1928,64168
2008:Q3,64861,-247,-336,-7271,-464,-29394,-4214,-2611,-17274,6,-5301,-1613,44077,7303,52806,60420,-7614,64912
2008:Q4,65607,3845,125,5926,447,-62731,4946,-6983,-21505,-53,-39136,-2320,65432,4347,50536,63961,-13425,65657
2009:Q1,65655,2602,-14,1863,171,-29423,2216,5880,-10909,-109,-26501,-465,72926,-6426,24421,33587,-9166,65687
