date,FL102000005.Q,LM102010005.Q,LM105035005.Q,LM105015205.Q,LM105013765.Q,LM105020015.Q,FL104090005.Q,FL103091003.Q,FL103020005.Q,FL103030003.Q,FL103034000.Q,FL102051003.Q,LM104022005.Q,FL103069100.Q,LM103061103.Q,LM103061703.Q,LM103062003.Q,LM123063003.Q,FL104023005.Q,FL103065005.Q,FL103066005.Q,LM103092305.Q,LM103064103.Q,LM103092105.Q,FL103092405.Q,LM103064203.Q,FL103070005.Q,FL103090005.Q,FL104194005.Q,FL104190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163005.Q,FL104123005.Q,FL103168005.Q,FL103169005.Q,FL103165005.Q,LM103192305.Q,FL103170005.Q,FL103178005.Q,FL103190005.Q,LM103181105.Q,LM103164105.Q,LM103192105.Q,FL102090005.Q,FL103164106.Q,FL104104016.Q,FL104104006.Q,FL102000115.Q,FL102010115.Q,FL105035045.Q,FL105013213.Q,FL105013715.Q,FL105020000.Q,FL102090115.Q,FL105012613.Q,FL105013613.Q
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,502992,390649,240645,75392,10128,64484,112343,91,25859,900,0,0,19587,90,18653,0,844,0,7241,26,7215,489,0,12078,2,0,41964,4132,336682,187003,40061,269,0,39792,38807,22183,3395,13229,532,32316,20537,54750,149679,147629,2050,315989,47.36838150164702,52.69165223084305,24.95918284822684,336875,224532,94704,56673,8327,64828,149872,1431,83640
1952:Q1,511785,401278,247773,76748,10251,66506,110507,84,24511,900,0,0,18825,138,17862,0,825,0,5616,27,5589,503,0,12442,3,0,43434,4189,340542,186986,41201,328,0,40873,38567,21916,3265,13385,544,30361,18812,57501,153556,151463,2093,324799,47.27717587576917,51.94687471260827,24.55901531984527,339766,229259,96248,58253,8532,66226,152780,1444,85201
1952:Q2,513888,403419,249164,78421,10452,65382,110469,102,25850,900,0,0,17555,432,16635,0,488,0,6172,28,6144,527,0,13002,3,0,42254,4104,349991,190236,42647,304,0,42343,38123,21494,3369,13260,558,28227,16610,64071,159755,157607,2148,323652,49.360124647719275,50.55862258710805,24.95579912916649,341251,230782,97730,59914,8767,64371,151015,1457,86779
1952:Q3,519671,403915,248233,78826,10740,66117,115756,98,26398,900,0,0,18007,411,17018,0,578,0,6276,29,6247,538,0,13289,3,0,46001,4246,354192,195100,43816,346,0,43470,38711,21955,3506,13250,567,30753,17238,64015,159092,156907,2185,324571,49.016043629945585,51.874010868672784,25.426587799991363,350031,234275,99229,61025,9035,64986,154931,1471,88366
1952:Q4,527493,408849,251382,79753,11026,66688,118644,75,26641,900,0,0,18655,195,17647,0,813,0,7081,30,7051,555,0,13706,3,0,45866,5162,338642,189787,44828,331,0,44497,40270,22979,3827,13464,579,33077,17381,53652,148855,146628,2227,337706,44.07833779968461,57.168200224773315,25.198792409075637,357338,238694,100885,62435,9339,66035,167551,1485,90023
1953:Q1,530013,412999,252850,81384,11415,67350,117014,102,23589,900,0,0,19241,212,18164,0,865,0,6411,31,6380,570,0,14065,3,0,46828,5305,329786,184439,45627,370,0,45257,40877,23076,4046,13756,596,31088,16007,50244,145347,143052,2295,345574,42.059627477582055,59.51568102946819,25.03207373174029,360734,243720,102690,63998,9666,67366,176295,1500,91734
1953:Q2,536943,419306,255579,83412,11756,68559,117637,74,25710,900,0,0,17581,194,16454,0,933,0,6777,32,6745,586,0,14472,3,0,46126,5408,312266,176136,46567,297,0,46270,40787,22710,4381,13696,602,31407,15201,41572,136130,133816,2314,360807,37.729267646022066,64.16942400733546,24.210653730638338,365282,247645,104641,65500,10015,67489,189146,1515,93503
1953:Q3,547448,425815,258630,85511,12095,69579,121633,85,25865,900,0,0,19467,214,18232,0,1021,0,6697,32,6665,599,0,14825,3,0,47561,5631,307979,176328,47147,347,0,46800,41191,23000,4430,13761,619,32222,17399,37750,131651,129274,2377,371120,35.47395028110099,67.10019969226948,23.80309147735516,374145,252512,106615,67082,10366,68449,197817,1530,95283
1953:Q4,549515,427038,259102,86913,12393,68631,122477,114,26550,900,0,0,20449,204,19240,0,1005,0,7341,32,7309,611,0,15124,3,0,45021,6364,340170,193654,48414,402,0,48012,40838,22417,4279,14142,632,32800,17986,52984,146516,144082,2434,355861,41.17221222534658,60.91590660706051,25.08042634725287,377642,255165,108517,68518,10712,67418,183988,1544,97053
1954:Q1,548195,429994,260326,88667,12812,68189,118201,115,23706,950,0,0,19162,312,17887,0,963,0,6453,32,6421,623,0,15408,3,0,45279,6502,358839,200095,49314,525,0,48789,40852,22094,4340,14419,646,30154,14340,64789,158744,156255,2489,348100,45.60297259312259,56.79949293981951,25.902257198378486,376740,258539,110300,69779,11053,67407,176645,1558,98766
1954:Q2,550327,432658,261677,90371,13084,67526,117669,128,25354,1000,0,0,16134,338,14874,0,922,0,6862,32,6830,639,0,15801,3,0,45273,6475,389089,213980,50208,484,0,49724,39943,21445,4213,14285,667,30197,11324,81641,175109,172550,2559,336347,52.06196756139695,51.48295844654571,26.8030411260881,377786,260117,111969,70984,11381,65783,163806,1573,100423
1954:Q3,556778,433565,263287,89655,13371,67252,123213,150,26760,1050,0,0,17663,300,16366,0,997,0,6790,32,6758,648,0,16001,3,0,47592,6556,432939,238323,51583,584,0,50999,39583,21273,4095,14216,682,31519,13163,101793,194616,191985,2631,318455,61.11248081001436,46.844293523572524,28.627709890180057,386338,263125,113607,72244,11700,65574,148015,1589,102038
1954:Q4,564736,436060,265003,90164,13648,67246,128676,158,28329,1100,0,0,18786,291,17523,0,972,0,7687,33,7654,663,0,16373,3,0,48406,7171,445623,248164,52078,531,0,51547,40765,21761,4368,14636,681,34832,14767,105041,197459,194840,2619,316572,62.37402585205226,47.01894513626486,29.327608994656114,394867,266191,115292,73413,12015,65471,146703,1606,103616
1955:Q1,568603,439210,265937,90683,14169,68421,129393,147,26814,1075,0,0,19039,281,17543,150,1065,0,6834,36,6798,675,0,16656,3,0,50806,7344,458245,253427,52555,500,0,52055,41165,22121,4109,14935,699,34093,12936,111979,204818,202122,2696,315176,64.98524826439369,45.7577446491099,29.735783960411393,400143,270750,117100,74493,12331,66826,146716,1625,105242
1955:Q2,579435,447004,270077,92536,14464,69927,132431,127,27756,1050,0,0,18399,352,16788,200,1059,0,7398,40,7358,693,0,17144,4,0,52383,7477,507779,279466,53159,380,0,52779,42227,22865,4234,15128,723,35703,12026,135628,228313,225533,2780,299969,76.11220808512161,41.77848817787447,31.798529856761746,407215,274784,119012,75776,12659,67337,127749,1644,106911
1955:Q3,599041,459264,276744,95886,14832,71802,139777,123,28304,1025,0,0,20323,245,18619,250,1209,0,7477,44,7433,707,0,17493,4,0,56754,7567,547315,303472,53624,371,0,53253,43249,23814,4080,15355,740,39673,15248,150938,243843,240995,2848,295569,82.49946364292673,39.72741546820798,32.774904680468694,420975,281198,121068,77330,13008,69792,117503,1663,108691
1955:Q4,621122,474122,285179,99783,15241,73919,147000,129,29282,1000,0,0,23017,217,21281,300,1219,0,8385,47,8338,728,0,17992,6,0,58009,8452,565012,317920,54926,362,0,54564,46290,25662,4433,16195,746,43874,18430,153654,247092,244222,2870,303202,81.49426169646846,40.96278811056208,33.38232174099133,435813,288813,123281,79163,13402,72967,117893,1680,110624
1956:Q1,634669,491716,296670,103081,15812,76154,142953,95,26140,1000,0,0,20868,171,18878,325,1494,0,7505,49,7456,750,0,18536,8,0,59131,8920,597805,332506,55348,362,0,54986,48257,27113,4715,16429,769,41991,15133,171008,265299,262345,2954,302163,87.79982294088263,39.05197766706974,34.28756724660026,439781,296828,125758,80924,13845,76301,107275,1697,112797
1956:Q2,642803,499929,299127,106331,16369,78102,142874,141,26977,1000,0,0,17675,325,15667,350,1333,0,7910,50,7860,775,0,19186,10,0,60287,8913,580687,324953,56235,289,0,55946,49748,28607,4609,16532,789,43720,12175,162286,255734,252704,3030,317850,80.45751515754657,41.44258804727253,33.34367655981388,446332,303458,128410,82833,14328,77887,121379,1713,115101
1956:Q3,662330,514856,307973,110622,16949,79313,147474,119,27277,1000,0,0,17616,371,15575,375,1295,0,7936,51,7885,809,0,19990,14,0,63778,8935,574897,324966,57414,401,0,57013,50343,29331,4398,16615,804,45420,14259,156726,249931,246833,3098,337364,74.08337537472983,43.11473827122582,31.940853395304526,457699,310225,131174,84920,14828,79303,132733,1730,117522
1956:Q4,679244,526053,313564,114101,17473,80915,153191,138,28990,1000,0,0,18765,305,16718,400,1342,0,8701,54,8647,846,0,20894,17,0,63809,10031,625674,354153,58418,378,0,58040,52544,30747,4670,17127,819,47992,16754,177626,271521,268373,3148,325091,83.52147563132215,40.86676468817762,34.132524910346035,470043,316852,133890,87040,15333,80589,115890,1747,119951
1957:Q1,687945,536613,318689,117981,18083,81860,151332,198,26402,1000,0,0,18440,355,16166,500,1419,0,7609,58,7551,870,0,21482,22,0,65016,10293,595544,338339,59863,353,0,59510,53683,30873,5180,17629,827,46320,14218,163428,257205,254023,3182,349606,73.56986882061965,44.14594065114238,32.47811062667405,475483,324151,136535,89314,15809,82493,137144,1765,122373
1957:Q2,696302,544266,323582,119677,18579,82428,152036,176,27100,1000,0,0,16579,349,14227,600,1403,0,8152,63,8089,917,0,22680,27,0,65154,10251,634065,357761,61295,320,0,60975,55042,32125,5220,17697,838,46312,11957,182317,276304,273076,3228,338541,81.6160346612976,42.10474967838336,34.36422709156196,481640,329604,139134,91553,16266,82651,123879,1783,124821
1957:Q3,708243,552350,327499,122387,19062,83403,155893,153,27712,1000,0,0,17328,345,14773,700,1510,0,8064,68,7996,936,0,23106,31,0,67098,10465,584288,335660,62852,364,0,62488,54973,31811,5354,17807,840,47428,13511,156056,248628,245392,3236,372583,66.73085988283749,47.38991278515788,31.623696299262594,491683,335790,141716,93937,16715,83422,156023,1802,127241
1957:Q4,716339,558139,330035,125736,19457,82911,158200,131,29024,1000,0,0,18303,435,15589,800,1479,0,8742,72,8670,955,0,23569,37,0,65436,11003,592184,343082,64494,422,0,64072,56139,31971,5730,18438,873,49578,14621,157377,249102,245747,3355,373257,66.73740923810205,48.42712076130356,32.319005764701046,498039,339839,144284,96064,17147,82344,154957,1821,129553
1958:Q1,714599,559815,331473,126589,20024,81729,154784,160,25972,1550,0,0,17057,746,14394,700,1217,0,7512,76,7436,965,0,23878,41,0,66550,11099,617732,352990,66653,716,0,65937,55707,30808,6185,18713,890,45517,11495,172728,264742,261319,3423,361609,73.21217061589927,46.21845175660416,33.83753175607213,499472,344688,146711,97535,17570,82872,146482,1839,131640
1958:Q2,718332,562283,333382,128061,20418,80422,156049,132,27218,2100,0,0,14977,455,12340,500,1682,0,7958,80,7878,990,0,24479,41,0,66706,11448,651476,369413,67808,791,0,67017,55466,30687,5841,18938,910,46871,8991,189367,282063,278565,3498,348919,80.83901002742056,43.70426271270485,35.330093316733695,502346,346297,149063,98693,17991,80550,132933,1857,133572
1958:Q3,728890,565618,335561,128776,20777,80504,163272,172,28211,2000,0,0,15928,224,13175,550,1979,0,8051,84,7967,1005,0,24832,42,0,71453,11578,720931,406821,69258,795,0,68463,55022,30474,5335,19214,928,50103,10322,221188,314110,310541,3569,322069,97.5289190334524,39.56588055073052,38.588175607194465,513264,349992,151342,99722,18424,80504,106443,1886,135397
1958:Q4,741003,570439,337847,129748,21159,81685,170564,149,30083,1900,0,0,18860,210,16092,600,1958,0,8907,87,8820,1028,0,25415,43,0,71840,12339,757706,429462,70373,658,0,69715,57595,31650,5758,20187,930,53810,12026,234728,328244,324670,3574,311541,105.36143500606248,38.98571692290299,41.075910797371925,525877,355313,153631,100915,18879,81888,96415,1937,137244
1959:Q1,748382,577150,341239,131536,21532,82843,171232,143,27264,1800,0,0,20440,502,17280,700,1958,0,8118,74,8044,1049,0,25930,45,0,73501,12942,773205,437518,70959,652,0,70307,57894,31437,6248,20209,956,53685,11682,242342,335687,332012,3675,310864,107.98507465078025,38.3849713200329,41.450039934618125,533281,362049,155870,102315,19348,84516,95763,2017,139034
1959:Q2,761094,584052,343486,133299,22140,85126,177042,137,28230,1700,0,0,21635,622,18104,900,2009,0,8667,62,8605,1080,0,26670,48,0,75575,13300,807490,457242,71627,458,0,71169,60301,33407,6655,20238,987,55502,12591,256234,350248,346451,3797,303852,115.26936649983328,37.667039079920194,43.41855732666864,545265,368223,158198,103818,19830,86377,88023,2121,140899
1959:Q3,770755,589446,345766,135093,22720,85867,181309,145,27748,1600,0,0,24006,240,20311,1000,2455,0,8553,21,8532,1099,0,27150,52,0,77484,13472,797309,453545,72264,527,0,71737,60637,34014,6412,20211,1010,55842,13275,250517,343764,339875,3889,317210,108.37107553847503,38.66042818595055,41.89672183289436,554606,373297,160611,105490,20295,86901,101061,2231,142844
1959:Q4,781944,595234,348117,136600,23283,87235,186710,132,29196,1500,0,0,25357,742,21621,1200,1794,0,10139,21,10118,1118,0,27634,57,0,77386,14191,849427,483364,73109,315,0,72794,63539,35439,7088,21012,1017,59100,14150,272449,366063,362157,3906,298580,122.60113166585708,37.329082428894225,45.76587749830493,566129,379419,162996,107214,20761,88448,82765,2331,144761
1960:Q1,785366,599905,348684,137619,23739,89863,185461,121,26528,1268,0,0,24375,740,19986,1200,2449,0,8340,22,8318,1140,0,28172,64,0,79948,15505,804529,461239,73643,427,0,73216,65101,35977,8149,20975,1035,58535,12817,250108,343290,339310,3980,324127,105.91219329153334,40.41596036216911,42.80543005941004,573774,388313,165558,109159,21238,92358,112535,2482,146806
1960:Q2,789589,604102,349886,139738,24158,90320,185487,140,27535,1087,0,0,22526,757,18247,1343,2179,0,9044,23,9021,1153,0,28488,71,0,80465,14978,823420,471807,74654,547,0,74107,66751,36856,8811,21084,1045,59438,11903,258016,351613,347588,4025,317782,110.64580966970763,40.215979536050774,44.497296174267305,579096,393609,168105,111274,21715,92515,107289,2617,148863
1960:Q3,796183,608444,351278,141196,24675,91295,187739,191,27737,1346,0,0,20832,648,16446,1190,2548,0,8777,24,8753,1165,0,28811,76,0,83319,15485,773053,447681,75671,782,0,74889,66254,36543,8402,21309,1064,60426,11795,232471,325372,321285,4087,348502,93.363134769353735,43.61919664730978,40.72424935113726,586936,399197,170644,113162,22222,93169,139255,2752,150892
1960:Q4,798486,609837,352721,142048,25168,89900,188649,148,28243,3000,0,0,20038,788,15752,1116,2382,0,9647,24,9623,1192,0,29478,79,0,82311,14513,865557,496289,76985,769,0,76216,68611,37651,9131,21829,1067,61935,12560,275131,369268,365166,4102,302197,122.19458161750305,39.42837561261023,48.17933861840668,591118,402469,173308,114803,22732,91626,94829,2896,152987
1961:Q1,798294,611346,353925,142634,25637,89150,186948,189,26462,3272,0,0,19503,562,15225,936,2780,0,7992,26,7966,1222,0,30171,82,0,83213,14842,950458,535943,77200,623,0,76577,68332,37641,8942,21748,1082,60270,10921,318138,414515,410353,4162,262351,158.0000303136902,35.1088832755639,55.472046218189064,595643,408695,175955,116207,23252,93281,59700,3015,155035
1961:Q2,808319,615410,356786,143356,26130,89139,192909,213,27769,3863,0,0,19264,613,14636,1233,2782,0,8574,28,8546,1248,0,30831,84,0,85820,15243,954986,539187,79256,726,0,78530,68439,37343,9061,22035,1103,61734,10584,318071,415799,411555,4244,269132,154.49603876283285,35.520830411768614,54.87827592184617,605646,412737,178592,117765,23790,92590,66459,3144,157004
1961:Q3,817692,621052,359704,144124,26692,90532,196640,238,27903,4606,0,0,17972,245,13288,1248,3191,0,8619,30,8589,1278,0,31568,85,0,89372,14999,981659,553752,80254,1017,0,79237,68116,37134,8712,22270,1114,63376,11557,329335,427907,423621,4286,263940,162.12280791971762,34.67344279164388,56.21355905624997,615028,418388,181229,119326,24334,93499,61276,3290,158944
1961:Q4,828198,626707,362550,145294,27234,91629,201491,236,31673,4100,0,0,18828,1089,14096,1248,2395,0,9650,33,9617,1299,0,32088,88,0,88253,15276,1016820,574952,81705,1094,0,80611,71286,38585,9454,23247,1092,65676,13274,341919,441868,437674,4194,253246,174.48176444093704,34.62363120447667,60.41192263909376,626370,424879,183809,121148,24875,95047,51418,3454,160843
1962:Q1,834008,632725,364783,146894,27680,93368,201283,234,28211,5395,0,0,19393,562,14217,1238,3376,0,8569,38,8531,1316,0,32538,91,31,89326,16179,1006167,574005,82568,1131,0,81437,71199,38089,9530,23580,1099,64315,12916,341908,432162,427931,4231,260003,166.21403565425007,35.58094742558081,59.14052864007486,633718,432435,186357,123067,25393,97618,59713,3592,162768
1962:Q2,842489,638007,366637,148686,28184,94500,204482,296,29469,5554,0,0,18221,907,13061,1184,3069,0,9450,44,9406,1342,0,33183,95,82,90553,16237,913065,582184,84073,1092,0,82981,73151,39474,9680,23997,1118,65041,13001,345800,330881,326582,4299,260305,127.11295923304912,47.51677220392101,60.39997528043094,642893,438411,188984,125087,25906,98434,60709,3748,164780
1962:Q3,853261,644358,369058,150498,28624,96179,208903,788,30249,4903,0,0,17088,1079,11645,1308,3056,0,9484,50,9434,1367,0,33766,97,134,94489,16538,935738,586031,84921,1363,0,83558,73807,40045,9269,24493,1129,67540,13996,344638,349707,345363,4344,267230,130.86343707365907,45.38874998063992,59.39727826943518,654220,445317,191665,127078,26412,100162,68189,3911,166836
1962:Q4,862706,649543,371962,151692,29096,96793,213163,790,34564,5000,0,0,17583,1304,12307,1275,2697,0,10444,54,10390,1392,0,34401,99,168,92772,15950,1018774,589958,85841,1198,0,84643,77629,42226,9836,25567,1171,68611,14355,342351,428816,424314,4502,272748,157.2205142896165,38.121227398892785,59.93438977005341,663938,450775,194279,129005,26935,100556,73980,4078,168786
1963:Q1,867867,654334,373813,153267,29534,97720,213533,828,27771,5344,0,0,21755,1092,16367,930,3366,0,9406,56,9350,1427,11691,35258,99,187,94615,5152,1041382,588851,86793,1214,0,85579,77942,41735,10253,25954,1184,68025,13596,341311,452531,447981,4550,279016,162.1879854885273,36.40294758447007,59.04120734569651,670968,457435,196730,130971,27487,102247,82117,4181,170599
1963:Q2,878221,659729,376079,154722,30157,98772,218492,1065,29185,5160,0,0,21340,1008,15252,1314,3766,0,10135,56,10079,1460,12026,36117,99,193,96295,5417,1066238,592555,87682,987,0,86695,79862,42769,10562,26531,1212,69619,13743,340437,473683,469026,4657,285666,165.81695406970388,35.370387489454295,58.650099177664714,682435,463943,199358,132976,28078,103531,89880,4304,172526
