date,FL224090055.Q,FL223034055.Q,LM223064255.Q,FL223090055.Q,FL223095505.Q,FL223093053.Q,FL224090055.Q
1999:Q2,278926,6936,172918,99072,99072,0,278926
1999:Q3,284123,7382,177839,98902,98902,0,284123
1999:Q4,312347,7805,198545,105997,105997,0,312347
2000:Q1,315626,7334,201103,107189,107189,0,315626
2000:Q2,308867,7068,196587,105212,105212,0,308867
2000:Q3,304641,6820,193783,104038,104038,0,304641
2000:Q4,290516,6613,184163,99740,99740,0,290516
2001:Q1,272599,7237,171441,93921,93921,0,272599
2001:Q2,276408,7378,174075,94955,94955,0,276408
2001:Q3,258216,7901,161270,89045,89045,0,258216
2001:Q4,266386,8036,166897,91453,91453,0,266386
2002:Q1,263303,7591,164687,91025,91025,0,263303
2002:Q2,248066,7331,153967,86768,86768,0,248066
2002:Q3,229636,7191,140935,81510,81510,0,229636
2002:Q4,231876,7047,142056,82773,82773,0,231876
2003:Q1,238534,6870,146232,85432,85432,0,238534
2003:Q2,260202,6412,160958,92832,92832,0,260202
2003:Q3,273181,6146,169538,97497,97497,0,273181
2003:Q4,294369,5728,183889,104752,104752,0,294369
2004:Q1,303605,5365,190287,107953,107953,0,303605
2004:Q2,310781,5199,195078,110504,110504,0,310781
2004:Q3,315082,4988,197943,112151,112151,0,315082
2004:Q4,332688,4659,210034,117995,117995,0,332688
2005:Q1,335720,4729,211940,119051,119051,0,335720
2005:Q2,343089,4801,216812,121476,121476,0,343089
2005:Q3,354359,4937,224289,125133,125133,0,354359
2005:Q4,362879,4996,229960,127923,127923,0,362879
2006:Q1,406122,5144,239650,161328,132376,28952,406122
2006:Q2,411151,5594,242327,163230,133733,29497,411151
2006:Q3,424560,5933,250847,167780,137732,30048,424560
2006:Q4,442194,6189,262342,173663,143064,30599,442194
2007:Q1,450150,6436,267487,176227,145264,30963,450150
2007:Q2,475629,6772,284116,184741,152685,32056,475629
2007:Q3,484561,8202,289431,186928,154872,32056,484561
2007:Q4,480446,8433,284014,187999,154850,33149,480446
2008:Q1,446631,8855,259922,177854,145434,32420,446631
2008:Q2,450207,8855,260001,181351,147838,33513,450207
2008:Q3,407881,9107,229936,168838,136053,32785,407881
2008:Q4,343658,10166,185238,148254,117655,30599,343658
2009:Q1,325076,10435,169988,144653,113690,30963,325076
2009:Q2,367969,9984,197216,160769,127256,33513,367969
2009:Q3,410093,9498,225322,175273,139939,35334,410093
2009:Q4,426474,9191,236050,181233,144806,36427,426474
2010:Q1,442720,8993,246945,186782,149626,37156,442720
2010:Q2,411145,8875,224557,177713,140921,36792,411145
2010:Q3,445431,8715,246657,190059,151446,38613,445431
2010:Q4,474093,8504,265642,199947,159877,40070,474093
2011:Q1,501214,7327,274661,219226,203896,15330,501214
2011:Q2,495393,7210,269835,218348,203416,14932,495393
2011:Q3,445441,7370,229798,208273,193735,14538,445441
2011:Q4,461006,7180,241835,211991,197844,14147,461006
2012:Q1,486751,6866,264082,215803,202117,13686,486751
2012:Q2,469944,6763,252767,210414,197182,13232,469944
2012:Q3,480897,6642,262345,211910,199124,12786,480897
2012:Q4,478093,6550,260532,211011,198663,12348,478093
2013:Q1,492874,6362,272967,213545,201153,12392,492874
2013:Q2,487840,6341,270134,211365,198941,12424,487840
2013:Q3,499937,7289,280902,211746,199302,12444,499937
2013:Q4,515693,7121,292365,216207,203756,12451,515693
2014:Q1,506491,6799,287942,211750,200082,11668,506491
2014:Q2,502169,6479,286061,209629,198732,10897,502169
2014:Q3,485338,6179,271115,208044,197903,10141,485338
2014:Q4,478022,5850,266174,205998,196600,9398,478022
2015:Q1,476118,5650,264383,206085,196922,9163,476118
2015:Q2,467064,5516,255680,205868,196952,8916,467064
2015:Q3,436389,4410,229128,202851,194194,8657,436389
2015:Q4,440783,5228,231450,204105,195718,8387,440783
2016:Q1,434736,4082,224401,206253,198416,7837,434736
2016:Q2,430448,3871,220950,205627,198326,7301,430448
2016:Q3,430105,3652,221267,205186,198409,6777,430105
2016:Q4,426523,3446,194874,228203,221935,6268,426523
2017:Q1,436467,3234,205418,227815,221391,6424,436467
2017:Q2,443009,3046,209776,230187,223624,6563,443009
2017:Q3,450407,2986,210790,236631,229946,6685,450407
2017:Q4,467308,2891,217358,247059,240269,6790,467308
2018:Q1,455807,2810,209818,243179,236674,6505,455807
2018:Q2,454692,2693,207351,244648,238439,6209,454692
2018:Q3,462983,2588,207028,253367,247466,5901,462983
2018:Q4,417106,2550,176363,238193,232611,5582,417106
2019:Q1,444210,2479,192655,249076,243369,5707,444210
2019:Q2,447799,2430,194266,251103,245297,5806,447799
2019:Q3,442673,2396,191531,248746,242868,5878,442673
2019:Q4,456326,2332,202099,251895,245972,5923,456326
2020:Q1,407767,2524,161220,244023,238752,5271,407767
2020:Q2,437883,2448,186108,249327,244670,4657,437883
2020:Q3,448863,2362,192781,253720,249640,4080,448863
2020:Q4,472185,2130,211315,258740,255199,3541,472185
2021:Q1,473555,1900,210331,261324,258119,3205,473555
2021:Q2,482934,1664,213039,268231,265426,2805,482934
2021:Q3,474958,1513,203500,269945,267604,2341,474958
2021:Q4,482255,1365,204971,275919,274105,1814,482255
2022:Q1,469647,1364,190845,277438,275597,1841,469647
2022:Q2,436956,1366,160814,274776,272907,1869,436956
2022:Q3,425875,1369,149177,275329,273432,1897,425875
2022:Q4,436016,1379,154419,280218,278294,1924,436016
2023:Q1,449012,1390,162655,284967,283015,1952,449012
2023:Q2,461002,2397,170857,287748,285769,1979,461002
2023:Q3,454612,2406,163907,288299,286292,2007,454612
2023:Q4,473814,2415,178201,293198,291163,2035,473814
2024:Q1,489921,2439,189413,298069,296007,2062,489921
