date,FL764090005.Q,FL763025000.Q,FL763013005.Q,FL762050005.Q,LM764022005.Q,FL763069175.Q,LM763061100.Q,LM763061705.Q,LM763061805.Q,LM763061503.Q,LM763061603.Q,LM763061403.Q,LM763061795.Q,LM763062000.Q,LM763063005.Q,LM763063673.Q,LM763063653.Q,LM763063663.Q,LM763063693.Q,LM763063095.Q,FL764023005.Q,FL763068005.Q,FL763069005.Q,FL763065005.Q,FL763066000.Q,LM763092305.Q,LM763064103.Q,LM763092100.Q,FL763094905.Q,LM763064203.Q,FL763040005.Q,FL763090005.Q,FL764194005.Q,FL764190005.Q,FL764110005.Q,FL713022003.Q,FL713068715.Q,FL764112005.Q,FL764116005.Q,FL763127005.Q,FL763123005.Q,FL763128000.Q,FL763129205.Q,FL763122605.Q,FL763130005.Q,FL762150005.Q,FL764122005.Q,FL763169175.Q,FL763163005.Q,FL763169305.Q,FL763178000.Q,FL763190005.Q,FL763194705.Q,FL763193005.Q,FL763181105.Q,LM763164105.Q,FL763194603.Q,FL763066303.Q,FL763139105.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,169704,1978,20479,91,87771,298,75561,2049,66,0,0,0,1983,5732,4131,0,0,0,0,4131,56896,22754,207,26694,7241,1,157,31,318,0,0,1982,159666,157222,-313,541,33,-630,-257,89377,2338,7399,78138,1502,65521,17,210,210,0,509,292,1609,0,1609,2444,2444,0,0,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,174516,2015,16563,74,93377,261,79894,2095,34,0,0,0,2061,6634,4493,0,0,0,0,4493,59836,21553,218,29598,8467,1,157,35,344,0,0,2114,163952,161353,-1,534,8,-564,21,90165,3071,7645,78325,1124,68381,9,220,220,0,427,336,1816,0,1816,2599,2599,0,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,185694,2174,17681,68,89475,368,74381,1887,18,0,0,0,1869,8205,4634,0,0,0,0,4634,73314,27212,315,35147,10640,2,181,40,402,0,0,2357,173664,171587,1059,1368,67,-436,60,95691,2806,8114,83457,1314,70955,17,318,318,0,810,453,2284,0,2284,2077,2077,0,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,197943,2697,20056,8,89139,427,72967,1825,18,0,0,0,1807,9333,4587,0,0,0,0,4587,83189,32124,392,39702,10971,2,227,48,508,0,0,2069,185191,183007,591,1184,19,-976,364,102435,3359,8528,89481,1067,75666,11,396,396,0,911,615,2382,0,2382,2184,2184,0,0,ND
1952:Q1,198778,2420,20276,160,89218,461,72627,1698,41,0,0,0,1657,9722,4710,0,0,0,0,4710,83626,31701,366,40535,11024,2,249,48,532,0,0,2247,185936,183793,324,710,157,-977,434,101580,5560,8843,86143,1034,77397,235,370,370,0,589,721,2577,0,2577,2143,2143,0,0,ND
1952:Q2,201333,2396,19381,12,89471,400,72503,1565,48,0,0,0,1517,10089,4914,0,0,0,0,4914,86843,32596,333,42000,11914,2,278,50,545,0,0,2355,188219,186051,-47,581,44,-1147,475,102076,5837,8822,86277,1140,79634,38,336,336,0,653,691,2670,0,2670,2168,2168,0,0,ND
1952:Q3,206590,2530,20581,420,90836,493,73072,1938,38,0,0,0,1900,10474,4859,0,0,0,0,4859,88886,32560,363,43599,12364,2,302,52,553,0,0,2428,193360,191156,1025,738,355,-476,408,103807,6180,8385,87790,1452,81061,424,367,367,0,715,803,2954,0,2954,2204,2204,0,0,ND
1952:Q4,212159,2753,19950,26,92477,472,74556,2159,32,0,0,0,2127,10524,4766,0,0,0,0,4766,93401,34826,394,44996,13185,2,336,57,568,0,0,2589,198616,196461,509,967,127,-985,400,107542,4941,8910,92416,1275,83530,46,398,398,0,864,801,2771,0,2771,2155,2155,0,0,ND
1953:Q1,211599,2550,20148,489,90269,425,71948,2112,59,0,0,0,2053,10938,4846,0,0,0,0,4846,94680,34157,364,46148,14011,2,357,59,595,0,0,2450,198383,195829,982,810,690,-969,451,104072,5530,8996,88390,1156,85461,623,368,368,0,611,720,2992,0,2992,2554,2554,0,0,ND
1953:Q2,211142,2590,19561,34,87994,331,70135,1675,60,0,0,0,1615,10923,4930,0,0,0,0,4930,97268,34305,342,47918,14703,2,378,61,614,0,0,2640,197436,195016,200,601,54,-934,479,101818,3634,9350,87746,1088,88158,44,346,346,0,718,634,3098,0,3098,2420,2420,0,0,ND
1953:Q3,217577,2650,19309,222,92066,431,73636,1882,78,0,0,0,1804,11091,5026,0,0,0,0,5026,99669,34782,412,49565,14910,3,399,63,622,0,0,2574,203697,201140,974,685,329,-576,536,104799,5870,8832,89048,1049,89709,233,416,416,0,801,744,3464,0,3464,2557,2557,0,0,ND
1953:Q4,222163,2512,20160,5,95004,477,74555,3698,71,0,0,0,3627,11249,5025,0,0,0,0,5025,100386,33868,458,51054,15006,3,432,66,633,0,0,2962,208319,205596,242,935,13,-1017,311,107644,4146,9546,93004,948,92372,37,463,463,0,952,977,2909,0,2909,2723,2723,0,0,ND
1954:Q1,219906,2630,19194,112,93618,630,71759,4093,82,0,0,0,4011,11884,5252,0,0,0,0,5252,100240,32917,464,52291,14568,3,467,68,673,0,0,2901,205631,203088,-389,535,132,-1299,243,103309,5060,9945,87410,894,94999,74,469,469,0,630,851,3145,0,3145,2543,2543,0,0,ND
1954:Q2,225462,2660,19011,1,95997,614,74515,3267,72,0,0,0,3195,12467,5134,0,0,0,0,5134,103057,33228,471,54197,15161,3,497,71,692,0,0,3473,210930,208232,-211,567,22,-1004,204,105064,5591,9924,88604,945,98217,25,476,476,0,675,693,3293,0,3293,2698,2698,0,0,ND
1954:Q3,230696,2830,18331,235,98877,751,78202,1897,74,0,0,0,1823,12915,5112,0,0,0,0,5112,105578,33566,487,56379,15146,3,531,74,703,0,0,3534,216131,213246,175,511,174,-704,194,106729,4120,8977,92908,724,100156,327,492,492,0,689,884,3794,0,3794,2885,2885,0,0,ND
1954:Q4,238224,2469,18876,25,102372,707,79769,3627,49,0,0,0,3578,13194,5075,0,0,0,0,5075,109157,34348,698,58747,15364,3,572,78,726,0,0,3946,222878,220278,-400,808,10,-1344,126,112081,4172,9902,96932,1075,102523,16,706,706,0,867,948,3537,0,3537,2600,2600,0,0,ND
1955:Q1,237535,2830,18388,679,98215,631,75199,3745,67,0,0,0,3678,13668,4972,0,0,0,0,4972,112193,34759,646,60895,15893,3,612,81,765,0,0,3769,222018,219514,-66,552,598,-1392,176,108542,4070,9789,93843,840,104585,669,652,652,0,702,738,3692,0,3692,2504,2504,0,0,ND
1955:Q2,241335,2681,18066,137,95846,502,74261,2857,71,0,0,0,2786,13451,4775,0,0,0,0,4775,118860,37341,524,63802,17193,3,691,84,791,0,0,4176,225463,223024,-78,850,75,-1141,138,109610,5078,10278,93348,906,107114,56,530,530,0,1017,533,4242,0,4242,2439,2439,0,0,ND
1955:Q3,245817,2960,18475,485,93934,525,73047,2315,80,0,0,0,2235,13494,4553,0,0,0,0,4553,124012,38958,537,66661,17856,4,762,87,802,0,0,4296,229812,227259,769,788,649,-825,157,110353,4220,9543,95735,855,108409,473,542,542,0,1275,582,4856,0,4856,2553,2553,0,0,ND
1955:Q4,251212,2682,19005,185,93747,457,72461,3053,98,0,0,0,2955,13344,4432,0,0,0,0,4432,129841,42021,514,68766,18540,4,808,91,819,0,0,4030,234678,232345,554,1585,107,-1179,41,114202,3709,10273,99239,981,110581,39,518,518,0,1417,573,4461,0,4461,2333,2333,0,0,ND
1956:Q1,251923,2890,18582,831,91068,493,69703,3083,146,0,0,0,2937,13463,4326,0,0,0,0,4326,132575,42629,528,70634,18784,4,855,94,879,0,0,4145,234878,232789,444,793,706,-1205,150,111789,6170,10635,93897,1087,112584,828,534,534,0,1138,531,4941,0,4941,2089,2089,0,0,ND
1956:Q2,253666,2273,18443,257,88401,442,67621,2556,159,0,0,0,2397,13507,4275,0,0,0,0,4275,138171,44673,547,72972,19979,4,836,98,906,0,0,4277,236203,234012,94,1206,232,-1311,-33,110949,5232,11453,93103,1161,115633,92,553,553,0,1173,468,5050,0,5050,2191,2191,0,0,ND
1956:Q3,258502,3100,18656,725,88728,528,67949,2330,167,0,0,0,2163,13641,4280,0,0,0,0,4280,141229,45075,644,75357,20153,4,822,102,916,0,0,4220,240658,238457,1076,1060,573,-681,124,111629,5110,9884,95572,1063,117024,785,650,650,0,1142,711,5440,0,5440,2201,2201,0,0,ND
1956:Q4,263945,3261,19059,185,90229,500,69353,2712,147,0,0,0,2565,13576,4088,0,0,0,0,4088,145121,46872,774,77098,20377,4,837,108,933,0,0,4208,245939,243729,639,1665,25,-1098,47,115934,3733,10449,100494,1258,119485,38,782,782,0,1228,878,4745,0,4745,2210,2210,0,0,ND
1957:Q1,265154,2910,18350,806,91170,482,69737,2972,210,0,0,0,2762,13752,4227,0,0,0,0,4227,146020,46463,815,78216,20526,5,833,111,982,0,0,3967,246920,244709,-36,807,592,-1402,-33,113143,6385,10486,95337,935,122932,929,823,823,0,961,799,5158,0,5158,2211,2211,0,0,ND
1957:Q2,267467,2950,18628,640,87977,433,66360,2782,230,0,0,0,2552,13992,4410,0,0,0,0,4410,150757,48775,783,79826,21373,5,891,116,1001,0,0,4502,249032,246699,253,1029,824,-1409,-191,111522,4490,11656,93933,1443,126390,650,791,791,0,1079,691,5323,0,5323,2333,2333,0,0,ND
1957:Q3,273029,3040,18594,595,91471,516,69467,2730,266,0,0,0,2464,14187,4571,0,0,0,0,4571,152904,48483,958,81751,21712,5,877,121,1012,0,0,4410,254480,251815,689,985,776,-863,-209,113286,6330,9757,95758,1441,128281,686,967,967,0,1119,829,5958,0,5958,2665,2665,0,0,ND
1957:Q4,276609,3335,19034,252,92157,610,68661,3474,265,0,0,0,3209,14600,4812,0,0,0,0,4812,155361,49063,1046,83428,21824,5,872,126,1030,0,0,4437,257739,254942,-266,1424,50,-1467,-273,115203,3898,10693,99054,1558,131380,20,1056,1056,0,1265,959,5325,0,5325,2797,2797,0,0,ND
1958:Q1,278912,2890,18426,866,95523,973,69928,4275,304,0,0,0,3971,15229,5118,0,0,0,0,5118,154419,47054,1223,84678,21464,5,909,129,1084,0,0,4661,259738,256745,-1641,704,118,-2309,-154,112363,5560,10629,94950,1224,136976,587,1235,1235,0,696,1020,5509,0,5509,2993,2993,0,0,ND
1958:Q2,288613,3017,18568,804,99878,1013,72954,3785,264,0,0,0,3521,16533,5593,0,0,0,0,5593,158475,48358,1082,87126,21909,5,969,132,1101,0,0,5664,268964,266056,-1926,796,128,-2677,-173,116532,9460,11976,93623,1473,142319,587,1093,1093,0,929,824,5698,0,5698,2908,2908,0,0,ND
1958:Q3,291686,3140,18101,867,102696,1013,75134,4089,258,0,0,0,3831,17080,5380,0,0,0,0,5380,159934,46684,1025,90039,22186,5,1039,135,1113,0,0,4656,271539,268714,-670,949,337,-1700,-256,114180,4220,10294,98588,1078,144702,917,1035,1035,0,1010,899,6641,0,6641,2825,2825,0,0,ND
1958:Q4,300520,3249,18504,210,104496,818,76727,4396,249,0,0,0,4147,17234,5321,0,0,0,0,5321,166531,50087,955,92980,22509,6,1099,138,1132,0,0,5155,280214,277409,-744,1296,46,-1664,-422,120791,4250,10928,104084,1529,147772,20,965,965,0,1298,934,6373,0,6373,2805,2805,0,0,ND
1959:Q1,299687,3090,18194,1043,101596,822,74034,4046,295,0,0,0,3751,17476,5218,0,0,0,0,5218,168355,49117,843,95318,23077,6,1102,141,1201,0,0,4959,278993,276384,-334,746,572,-1434,-218,115552,3590,11889,98651,1422,150200,1109,852,852,0,1087,813,7105,0,7105,2609,2609,0,0,ND
1959:Q2,306087,3260,18188,962,98941,656,71638,3756,323,0,0,0,3433,17633,5258,0,0,0,0,5258,176700,52689,786,98755,24470,6,1110,145,1224,0,0,5551,284873,282380,394,846,892,-1091,-253,116495,4420,11868,98621,1586,153573,1364,794,794,0,1537,571,7652,0,7652,2493,2493,0,0,ND
1959:Q3,310462,3240,17760,619,97526,752,69983,3849,357,0,0,0,3492,17747,5195,0,0,0,0,5195,183246,54615,763,102184,25684,6,1068,148,1235,0,0,5614,288945,286336,414,951,329,-518,-348,118585,6140,11207,99759,1479,154979,811,771,771,0,1795,528,8453,0,8453,2609,2609,0,0,ND
1959:Q4,315159,3012,18174,140,96473,711,69166,3846,324,0,0,0,3522,17679,5071,0,0,0,0,5071,190685,58565,921,104899,26300,6,1070,152,1253,0,0,4194,292966,290673,728,1590,453,-1060,-255,121941,5050,11458,103908,1525,156970,122,930,930,0,2134,475,7373,0,7373,2293,2293,0,0,ND
1960:Q1,312195,3360,17716,1121,91585,755,64111,4109,393,0,0,0,3716,17654,4956,0,0,0,0,4956,192489,57727,1093,106715,26954,6,1013,156,1348,0,0,3401,290008,287461,400,823,815,-1148,-90,115409,4410,11606,98307,1086,158733,1856,1104,1104,0,1520,595,7844,0,7844,2547,2547,0,0,ND
1960:Q2,317888,3490,17528,1109,91081,826,63794,4112,403,0,0,0,3709,17411,4938,0,0,0,0,4938,198512,60129,1106,109210,28067,6,1021,159,1366,0,0,3616,295095,292501,95,868,267,-1218,178,117845,7030,11418,98043,1354,162643,1427,1117,1117,0,1770,772,6832,0,6832,2594,2594,0,0,ND
1960:Q3,325739,3540,18058,900,95243,959,67184,4285,384,0,0,0,3901,17795,5020,0,0,0,0,5020,201610,59508,1334,112100,28668,7,990,162,1377,0,0,3852,302584,299893,1093,987,593,-773,286,119912,7440,11297,99790,1385,166487,1093,1348,1348,0,1736,1137,7087,0,7087,2691,2691,0,0,ND
1960:Q4,334109,3346,17081,272,99543,1114,70347,4797,373,0,0,0,4424,18241,5044,0,0,0,0,5044,206471,61457,1622,114531,28861,7,1040,166,1398,0,0,4785,310114,307442,911,1868,25,-1090,108,123862,5945,11674,104594,1649,171681,104,1638,1638,0,1981,1474,5791,0,5791,2672,2672,0,0,ND
1961:Q1,334421,3630,15992,1269,100142,1321,69643,4979,374,0,0,0,4605,19135,5064,0,0,0,0,5064,207166,59167,1785,116550,29664,7,1103,170,1502,0,0,3440,310167,307485,-381,755,106,-1428,186,117734,4160,11703,99765,2106,177090,1331,1802,1802,0,1477,1381,7051,0,7051,2682,2682,0,0,ND
1961:Q2,342260,2903,16716,267,101716,1413,71610,4968,406,0,0,0,4562,18802,4923,0,0,0,0,4923,211640,60157,1817,119814,29852,7,1108,175,1517,0,0,6211,317280,314454,-218,1171,35,-1679,255,119417,6362,11849,99204,2002,183522,306,1835,1835,0,1869,969,6754,0,6754,2826,2826,0,0,ND
1961:Q3,353408,3870,16310,1389,107727,1697,75977,4909,425,0,0,0,4484,20328,4816,0,0,0,0,4816,216643,61167,1938,123331,30207,7,1133,179,1532,0,0,4618,328301,325151,473,1300,82,-1131,222,123369,7750,11639,101844,2136,187108,1613,1957,1957,0,2124,788,7719,0,7719,3150,3150,0,0,ND
1961:Q4,364132,3689,17387,233,109658,2019,76484,5459,411,0,0,0,5048,21022,4674,0,0,0,0,4674,224962,65339,2146,126750,30727,7,1195,183,1552,0,0,5266,338739,335045,1440,2300,115,-849,-126,128898,5946,12242,108124,2586,191720,267,2168,2168,0,2662,582,7308,0,7308,3694,3694,0,0,ND
1962:Q1,365587,3900,16786,1532,109762,1908,74946,5848,435,0,0,0,5413,22348,4712,0,0,0,0,4712,226463,64099,1998,129616,30750,8,1207,187,1565,0,0,4177,340582,336568,-768,918,170,-1851,-5,122141,6260,11732,101265,2884,199897,1688,2018,2018,0,2151,713,8728,0,8728,4014,4014,0,0,ND
1962:Q2,375080,3185,17206,488,110759,1687,74650,6159,452,0,0,0,5707,23747,4516,0,0,0,0,4516,234381,66008,1874,134234,32265,8,1098,191,1574,0,0,6190,348298,345478,-499,1462,43,-1962,-42,124503,9554,11814,100321,2814,207218,557,1892,1892,0,2767,746,8294,0,8294,2820,2820,0,0,ND
1962:Q3,383679,4270,17105,1154,111415,1826,74555,5893,490,0,0,0,5403,24656,4485,0,0,0,0,4485,241050,67357,1825,138987,32881,8,1161,196,1580,0,0,5740,356609,353859,1226,1641,762,-1131,-46,124605,8090,11509,102642,2364,211759,1386,1843,1843,0,3046,979,9015,0,9015,2750,2750,0,0,ND
1962:Q4,399331,4519,17454,589,116047,1867,76653,6967,494,0,0,0,6473,25987,4573,0,0,0,0,4573,251579,72484,2120,143378,33597,8,1251,201,1593,0,0,6090,371896,368539,218,2903,37,-2177,-545,133502,7158,12071,111533,2740,219667,668,2141,2141,0,3479,1078,7786,0,7786,3357,3357,0,0,ND
1963:Q1,400482,4210,16410,1828,116207,1982,75854,6967,491,0,0,0,6476,26810,4594,0,0,0,0,4594,253904,70161,2071,147367,34305,8,1309,206,1608,0,0,4792,373262,369643,-1152,1223,194,-2628,59,125495,7330,12143,103552,2470,228052,2180,2092,2092,0,2514,1181,9281,0,9281,3619,3619,0,0,ND
1963:Q2,412421,3483,16965,850,116142,1928,74477,7032,500,0,0,0,6532,28275,4430,0,0,0,0,4430,264504,73331,2158,153130,35885,9,1358,210,1618,0,0,7282,384909,380879,-932,1638,96,-2473,-193,129557,11060,12396,103297,2804,235294,1087,2179,2179,0,3270,883,9541,0,9541,4030,4030,0,0,ND
1963:Q3,420398,4550,16621,1554,115503,1791,72821,7264,574,0,0,0,6690,29406,4221,0,0,0,0,4221,272584,74557,2167,158811,37049,9,1400,215,1640,0,0,6322,393421,389015,-153,1435,465,-1843,-210,128758,8850,11765,105357,2786,240051,1849,2224,2189,35,4024,863,11399,0,11399,4406,4406,0,0,ND
1963:Q4,434510,4259,17049,970,117821,1885,74188,7401,556,0,0,0,6845,30412,3935,0,0,0,0,3935,284182,79786,2312,163823,38261,9,1442,220,1668,0,0,6890,407339,403037,-256,2600,31,-2265,-622,135811,6548,13195,113004,3064,248307,1012,2568,2335,233,4784,710,10101,0,10101,4302,4302,0,0,ND
1964:Q1,436568,4500,16611,2133,117467,2045,72926,6898,572,0,0,0,6326,31184,4414,0,0,0,0,4414,285631,76184,2482,167836,39129,9,1494,226,1697,0,0,6800,408777,404676,-1682,1497,55,-2601,-633,129423,7870,13951,104443,3159,255573,2411,2926,2506,420,4168,914,10943,0,10943,4101,4101,0,0,ND
1964:Q2,448822,4539,16973,1172,116033,1955,70634,7159,581,0,0,0,6578,31828,4457,0,0,0,0,4457,299542,82651,2519,173200,41172,9,1525,231,1714,0,0,7084,420213,415926,-1975,1633,79,-2743,-944,133485,10257,12582,107162,3484,263000,1515,3077,2544,533,4769,846,11209,0,11209,4287,4287,0,0,ND
1964:Q3,459132,4780,17121,1955,119029,2166,72165,7202,625,0,0,0,6577,33091,4405,0,0,0,0,4405,305175,81476,2540,178652,42507,10,1556,236,1730,0,0,7540,430443,426058,-1057,1567,93,-1742,-975,135111,9200,12590,109641,3680,268829,2000,3243,2566,677,4837,886,12209,0,12209,4385,4385,0,0,ND
1964:Q4,475251,4532,17850,1331,122984,2338,74423,8044,630,0,0,0,7414,33925,4254,0,0,0,0,4254,317414,87946,2708,183325,43435,10,1584,241,1751,0,0,7554,445332,441196,-1165,2606,156,-2869,-1058,141790,6510,13519,117864,3897,277642,1892,3508,2735,773,5325,935,11269,0,11269,4136,4136,0,0,ND
1965:Q1,478611,4840,17277,2048,120825,1863,71078,8299,631,0,0,0,7668,35273,4312,0,0,0,0,4312,323262,88958,2660,186994,44650,10,1625,247,1783,0,0,6694,448973,444863,-1948,1114,109,-2279,-892,134950,8350,13591,109184,3825,287122,2671,3579,2686,893,4747,769,12973,0,12973,4110,4110,0,0,ND
