date,FU226330005.Q,FU225013005.Q,FU224090005.Q,FU223020043.Q,FU223030043.Q,FU223034005.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064205.Q,FU223090005.Q,FU223095505.Q,FU223073045.Q,FU223093005.Q,FU224190005.Q,FU224090045.Q,FU224090055.Q
1957:Q2,0,0,803,14,0,0,0,343,0,53,8,108,174,35,13,0,398,0,398,0,803,803,0
1957:Q3,0,0,821,14,0,0,0,406,0,33,7,109,257,39,13,0,349,0,349,0,821,821,0
1957:Q4,0,0,840,9,0,0,0,338,0,-89,8,108,311,41,14,0,438,0,438,0,840,840,0
1958:Q1,0,0,867,5,0,0,0,479,0,46,5,109,319,44,14,0,325,0,325,0,867,867,0
1958:Q2,0,0,889,3,0,0,0,242,0,-154,5,112,279,47,14,0,583,0,583,0,889,889,0
1958:Q3,0,0,911,0,0,0,0,379,0,10,5,108,256,50,15,0,467,0,467,0,911,911,0
1958:Q4,0,0,933,-1,0,0,0,409,0,61,5,95,248,55,15,0,455,0,455,0,933,933,0
1959:Q1,0,0,945,-3,0,0,0,407,0,81,7,85,234,56,17,0,468,0,468,0,945,945,0
1959:Q2,0,0,963,-7,0,0,0,319,0,24,8,76,211,55,19,0,577,0,577,0,963,963,0
1959:Q3,0,0,980,-7,0,0,0,506,0,224,7,68,207,64,19,0,398,0,398,0,980,980,0
1959:Q4,0,0,998,-6,0,0,0,386,0,112,7,59,208,81,20,0,517,0,517,0,998,998,0
1960:Q1,0,0,1025,2,0,0,0,493,0,201,13,54,225,99,20,0,411,0,411,0,1025,1025,0
1960:Q2,0,0,1047,6,0,0,0,379,0,61,12,51,255,118,19,0,525,0,525,0,1047,1047,0
1960:Q3,0,0,1069,7,0,0,0,281,0,-71,13,37,302,124,21,0,636,0,636,0,1069,1069,0
1960:Q4,0,0,1090,7,0,0,0,439,0,58,12,13,356,117,26,0,501,0,501,0,1090,1090,0
1961:Q1,0,0,1132,8,0,0,0,555,0,144,18,-7,400,114,32,0,423,0,423,0,1132,1132,0
1961:Q2,0,0,1161,9,0,0,0,443,0,17,19,-25,432,116,37,0,556,0,556,0,1161,1161,0
1961:Q3,0,0,1191,9,0,0,0,418,0,-7,19,-44,450,113,40,0,611,0,611,0,1191,1191,0
1961:Q4,0,0,1221,8,0,0,0,333,0,-65,19,-67,446,103,43,0,734,0,734,0,1221,1221,0
1962:Q1,0,0,1251,8,0,0,0,644,0,225,54,-88,453,94,46,0,459,0,459,0,1251,1251,0
1962:Q2,0,0,1281,9,0,0,0,418,0,50,18,-117,467,84,49,0,721,0,721,0,1281,1281,0
1962:Q3,0,0,1311,8,0,0,0,423,0,50,37,-128,464,81,51,0,748,0,748,0,1311,1311,0
1962:Q4,0,0,1341,5,0,0,0,298,0,-25,15,-126,434,87,51,0,900,0,900,0,1341,1341,0
1963:Q1,0,0,1371,4,0,0,0,417,0,100,-8,-122,447,89,50,0,811,0,811,0,1371,1371,0
1963:Q2,0,0,1401,2,0,0,0,631,0,275,-6,-129,491,89,49,0,630,0,630,0,1401,1401,0
1963:Q3,0,0,1431,1,0,0,0,475,0,75,-30,-127,557,92,52,0,811,0,811,0,1431,1431,0
1963:Q4,0,0,1461,-1,0,0,0,452,0,-40,-4,-122,618,100,58,0,852,0,852,0,1461,1461,0
1964:Q1,0,0,1491,0,0,0,0,716,0,215,-6,-110,617,104,62,0,609,0,609,0,1491,1491,0
1964:Q2,0,0,1520,0,0,0,0,727,0,250,34,-105,548,106,66,0,621,0,621,0,1520,1520,0
1964:Q3,1,0,1550,0,0,0,0,494,0,91,-6,-98,507,115,70,0,871,0,871,0,1550,1550,0
1964:Q4,1,0,1580,-2,0,0,0,374,0,-36,12,-91,489,133,75,0,1000,0,1000,0,1580,1580,0
1965:Q1,0,0,1641,0,0,0,0,799,0,387,-5,-80,497,151,80,0,611,0,611,0,1641,1641,0
1965:Q2,0,0,1684,0,0,0,0,635,0,173,5,-72,529,168,83,0,798,0,798,0,1684,1684,0
1965:Q3,0,0,1726,1,0,0,0,407,0,-239,104,-64,606,178,90,0,1050,0,1050,0,1726,1726,0
1965:Q4,0,0,1769,5,0,0,0,419,0,-198,7,-59,669,179,99,0,1067,0,1067,0,1769,1769,0
1966:Q1,0,1,1801,8,0,0,0,842,0,159,10,-46,719,190,110,0,651,0,651,0,1801,1801,0
1966:Q2,0,1,1840,10,0,0,0,584,0,-266,120,-36,766,207,119,0,920,0,920,0,1840,1840,0
1966:Q3,0,1,1878,14,0,0,0,896,0,120,49,-30,757,201,127,0,640,0,640,0,1878,1878,0
1966:Q4,0,1,1917,19,0,0,0,595,0,-51,-19,-32,697,172,132,0,999,0,999,0,1917,1917,0
1967:Q1,0,1,1997,39,0,0,0,488,0,-315,17,-20,806,165,145,0,1160,0,1160,0,1997,1997,0
1967:Q2,0,1,2052,8,17,0,0,675,0,-154,75,-19,773,166,144,0,1042,0,1042,0,2052,2052,0
1967:Q3,1,1,2108,-34,52,0,0,733,0,-338,15,-18,1074,78,190,0,1089,0,1089,0,2108,2108,0
1967:Q4,1,1,2163,-78,92,0,0,949,0,-143,26,-18,1084,78,191,0,931,0,931,0,2163,2163,0
1968:Q1,0,1,2342,62,-53,0,0,541,0,54,-27,31,483,145,270,0,1377,0,1377,0,2343,2342,0
1968:Q2,0,1,2447,38,-33,0,0,781,0,-99,270,-65,675,121,293,0,1247,0,1247,0,2448,2447,0
1968:Q3,1,1,2554,26,71,0,0,759,0,-97,110,12,734,6,321,0,1371,0,1371,0,2554,2554,0
1968:Q4,1,1,2659,-52,84,0,0,920,0,-102,272,-2,752,87,433,0,1187,0,1187,0,2659,2659,0
1969:Q1,0,1,2743,120,-178,0,0,796,0,-71,27,4,836,64,302,0,1639,0,1639,0,2744,2743,0
1969:Q2,0,1,2840,-182,91,0,0,948,0,-35,28,-18,973,49,530,0,1404,0,1404,0,2841,2840,0
1969:Q3,1,1,2938,14,68,0,0,1100,0,-119,87,-20,1152,75,430,0,1251,0,1251,0,2938,2938,0
1969:Q4,1,1,3035,-20,-41,0,0,771,0,-259,14,-17,1033,25,526,0,1774,0,1774,0,3035,3035,0
1970:Q1,1,1,3165,-73,-32,0,0,960,0,-102,26,-23,1059,75,474,0,1761,0,1761,0,3165,3165,0
1970:Q2,1,1,3275,70,71,0,0,830,0,-156,17,-149,1118,158,561,0,1585,0,1585,0,3276,3275,0
1970:Q3,1,1,3385,-32,-42,0,0,1333,0,95,-33,-26,1297,-19,380,0,1765,0,1765,0,3385,3385,0
1970:Q4,1,1,3497,114,46,0,0,666,0,-170,-85,-101,1022,131,722,0,1818,0,1818,0,3497,3497,0
1971:Q1,1,1,3733,-36,20,0,0,926,0,-224,-77,8,1219,99,692,0,2032,0,2032,0,3733,3733,0
1971:Q2,1,1,3894,68,-53,0,0,758,0,-454,-14,2,1224,151,763,0,2207,0,2207,0,3894,3894,0
1971:Q3,1,2,4054,30,-6,0,0,639,0,-55,48,8,638,8,961,0,2422,0,2422,0,4055,4054,0
1971:Q4,1,2,4215,98,-26,0,0,583,0,-475,96,102,860,110,769,0,2681,0,2681,0,4216,4215,0
1972:Q1,1,1,4434,155,-109,0,0,1060,0,-263,124,77,1122,21,513,0,2794,0,2794,0,4434,4434,0
1972:Q2,1,1,4617,44,-6,0,0,1060,0,90,132,237,601,-52,904,0,2667,0,2667,0,4617,4617,0
1972:Q3,1,1,4801,-24,32,0,0,1077,0,-80,144,-343,1356,83,1110,0,2523,0,2523,0,4801,4801,0
1972:Q4,1,1,4985,44,126,0,0,1173,0,-46,161,-94,1152,130,1150,0,2362,0,2362,0,4985,4985,0
1973:Q1,1,1,5092,-155,113,0,0,1227,0,90,179,-407,1365,162,1347,0,2398,0,2398,0,5092,5092,0
1973:Q2,1,1,5245,52,125,0,0,1286,0,-227,196,-86,1403,189,840,0,2753,0,2753,0,5245,5245,0
1973:Q3,1,1,5399,-64,231,0,0,1474,0,-432,360,114,1432,67,561,0,3130,0,3130,0,5399,5399,0
1973:Q4,1,1,5552,-56,140,0,0,1025,0,-520,494,41,1010,253,663,0,3527,0,3527,0,5552,5552,0
1974:Q1,1,1,5705,-185,87,0,0,1265,0,-668,483,154,1296,136,735,0,3667,0,3667,0,5705,5705,0
1974:Q2,1,1,5858,-54,296,0,0,1673,0,46,328,-401,1700,53,538,0,3352,0,3352,0,5858,5858,0
1974:Q3,1,2,6012,-35,190,0,0,1850,0,-371,256,-196,2161,93,264,0,3650,0,3650,0,6012,6012,0
1974:Q4,1,2,6165,-16,170,0,0,926,0,70,182,-265,939,279,1032,0,3774,0,3774,0,6165,6165,0
1975:Q1,1,1,6373,63,268,0,0,1808,0,-26,136,-194,1892,3,407,0,3824,0,3824,0,6373,6373,0
1975:Q2,1,1,6548,15,-123,0,0,2380,0,656,117,-61,1668,105,499,0,3672,0,3672,0,6548,6548,0
1975:Q3,1,1,6723,-36,-346,0,0,1876,0,333,209,178,1156,65,727,0,4437,0,4437,0,6723,6723,0
1975:Q4,1,1,6898,-21,-171,0,0,2966,0,-8,209,1034,1731,-333,755,0,3702,0,3702,0,6898,6898,0
1976:Q1,1,1,6911,-10,-106,0,0,2342,0,518,282,253,1289,1,532,0,4152,0,4152,0,6911,6911,0
1976:Q2,1,1,7022,20,68,0,0,3631,0,574,319,957,1781,80,829,0,2394,0,2394,0,7022,7022,0
1976:Q3,1,1,7132,-31,-78,0,0,2281,0,268,420,233,1360,2,824,0,4134,0,4134,0,7132,7132,0
1976:Q4,1,1,7242,12,93,0,0,991,0,157,561,-23,296,107,931,0,5108,0,5108,0,7242,7242,0
1977:Q1,1,1,7558,-30,-50,0,0,1500,0,655,1576,-488,-243,-48,808,0,5378,0,5378,0,7558,7558,0
1977:Q2,1,1,7751,64,303,0,0,3081,0,1856,207,756,262,180,808,0,3315,0,3315,0,7751,7751,0
1977:Q3,2,1,7944,20,82,0,0,3255,0,189,220,-72,2918,-242,1022,0,3807,0,3807,0,7943,7944,0
1977:Q4,2,1,8137,-40,-67,0,0,3380,0,3,746,-12,2643,419,1040,0,3405,0,3405,0,8136,8137,0
1978:Q1,1,1,8274,52,342,0,0,3289,0,864,1383,-158,1200,41,641,0,3909,0,3909,0,8274,8274,0
1978:Q2,1,1,8444,55,285,0,0,4486,0,1471,383,346,2286,164,632,0,2822,0,2822,0,8444,8444,0
1978:Q3,1,1,8615,32,393,0,0,3455,0,448,570,-64,2501,161,716,0,3858,0,3858,0,8615,8615,0
1978:Q4,1,1,8785,-34,-82,0,0,5004,0,-89,2044,283,2766,179,640,0,3078,0,3078,0,8785,8785,0
1979:Q1,1,2,9055,74,393,0,0,1962,0,1223,467,122,150,211,268,0,6147,0,6147,0,9055,9055,0
1979:Q2,1,2,9266,20,97,0,0,4382,0,2650,64,-206,1874,220,747,0,3800,0,3800,0,9266,9266,0
1979:Q3,2,2,9476,5,211,0,0,972,0,-40,-431,13,1430,305,2015,0,5968,0,5968,0,9476,9476,0
1979:Q4,2,2,9687,82,403,0,0,2230,0,1419,1295,30,-514,282,1118,0,5572,0,5572,0,9687,9687,0
1980:Q1,1,3,10120,50,111,0,0,5442,0,1453,621,191,3177,450,896,210,2961,0,2943,18,10121,9910,210
1980:Q2,1,2,9940,48,-13,0,0,7475,0,1423,1802,-76,4326,241,879,-186,1496,0,1479,17,9941,10126,-186
1980:Q3,2,3,10551,-75,3,0,0,3769,0,2417,269,-104,1187,302,1303,209,5040,0,5022,18,10552,10342,209
1980:Q4,2,3,10756,14,125,0,0,2643,0,928,1031,138,546,293,2254,198,5229,0,5212,17,10757,10558,198
1981:Q1,2,3,11081,181,423,0,0,3193,0,1505,1118,-139,709,276,1108,-1,5901,0,5883,18,11082,11082,-1
1981:Q2,2,3,11480,-68,-346,0,0,6782,0,2099,747,75,3861,436,2132,58,2486,0,2469,17,11481,11422,58
1981:Q3,2,3,12089,27,535,0,0,3687,0,684,1173,-136,1966,598,2675,328,4239,0,4221,18,12090,11761,328
1981:Q4,2,3,12249,-119,-483,0,0,6503,0,2349,2129,-3,2028,319,1155,149,4725,0,4707,18,12251,12100,149
1982:Q1,2,3,12598,28,159,0,0,5986,0,1981,2987,-205,1223,471,1488,73,4393,0,4363,30,12599,12525,73
1982:Q2,2,3,13011,108,638,0,0,6139,0,2872,656,197,2414,236,553,113,5224,0,5193,31,13012,12898,113
1982:Q3,2,3,13458,76,473,0,0,5709,0,3432,3446,-298,-871,441,-761,187,7333,0,7302,31,13459,13271,187
1982:Q4,2,3,13783,145,909,0,0,2636,0,1049,2971,-419,-965,106,4746,138,5103,0,5072,31,13784,13645,138
1983:Q1,2,4,13971,221,1358,0,164,3147,164,2914,1029,-768,-192,210,4911,-113,4073,0,4038,35,13973,14084,-113
1983:Q2,2,3,14560,24,407,0,242,4464,242,3860,817,120,-575,116,3315,76,5916,0,5864,52,14562,14484,76
1983:Q3,2,4,15207,-65,-452,0,289,-1713,289,2606,250,-60,-4798,50,6421,323,10354,0,10283,71,15209,14884,323
1983:Q4,2,4,15548,239,1480,0,305,1353,305,2632,2846,-423,-4007,502,5341,264,6064,0,5977,87,15550,15284,264
1984:Q1,3,5,15514,223,1319,0,321,6559,321,5651,940,151,-504,75,1780,355,4882,0,4917,-35,15516,15159,355
1984:Q2,3,5,15277,167,989,0,336,10623,336,4616,-1391,113,6949,209,458,-72,2567,0,2602,-35,15279,15349,-72
1984:Q3,3,6,15670,213,1634,0,383,7817,383,5154,691,-196,1785,26,2769,132,2696,0,2713,-17,15673,15538,132
1984:Q4,3,6,15990,-4,-767,0,460,8743,460,3583,3816,-534,1418,294,2266,262,4736,0,4789,-53,15993,15728,262
1985:Q1,3,6,16326,340,2125,0,539,-678,539,5908,187,16,-7328,64,5267,107,8562,0,8545,17,16329,16219,107
1985:Q2,3,6,16616,547,529,0,617,5560,617,3368,-2654,-272,4501,26,9868,87,-619,0,-637,18,16619,16529,87
1985:Q3,3,6,16934,-390,-465,0,664,8518,664,2720,715,-53,4472,-24,4096,94,4441,0,4405,36,16937,16840,94
1985:Q4,3,6,17239,-145,-822,1427,680,5742,680,5473,-3432,-97,3118,-12,9339,89,941,0,891,50,17242,17150,89
1986:Q1,3,7,18152,-51,745,67,714,6042,714,9645,-3223,-190,-904,91,6310,693,3541,0,3442,99,18156,17461,691
1986:Q2,3,7,17766,-100,111,-14,766,7434,766,3479,1123,258,1808,-203,4920,-669,5521,0,5430,91,17770,17772,-6
1986:Q3,4,7,18172,299,-2588,107,875,12788,875,6097,1881,-161,4096,167,6459,-763,828,0,837,-9,18176,18083,89
1986:Q4,4,7,18499,583,-1704,138,915,18217,915,10725,242,-326,6661,186,6350,-292,-5894,0,-5925,31,18503,18394,105
1987:Q1,4,8,19415,627,-2488,32,941,11563,941,7486,1770,-156,1522,-217,8554,2259,-1856,0,-1924,68,19420,18831,584
1987:Q2,4,8,19240,592,-1650,128,959,6084,959,6688,1394,53,-3010,-105,11386,1588,258,0,263,-5,19245,19193,47
1987:Q3,4,9,19530,411,-734,52,759,4291,759,5911,1616,41,-4036,180,8206,1504,4861,0,5007,-146,19535,19555,-25
1987:Q4,4,10,19811,132,197,78,343,9962,343,3452,34,161,5972,-77,4226,-927,5877,0,5925,-48,19816,19916,-105
1988:Q1,5,11,20208,8,545,97,-25,4055,-25,4704,-2634,-141,2151,117,6115,-413,9709,0,9753,-44,20215,20244,-36
1988:Q2,5,11,20780,243,104,350,-347,8113,-347,-630,-759,75,9774,189,3894,-311,8545,0,8589,-44,20787,20593,187
1988:Q3,5,12,20978,-359,623,201,-432,5250,-432,5800,-11,-120,13,-51,9023,-1043,7766,0,7737,29,20985,20941,37
1988:Q4,5,12,21429,-326,628,148,-285,4081,-285,1919,-4210,-89,6746,17,3819,-444,13791,0,12186,1605,21436,21290,139
1989:Q1,5,11,22270,-725,1007,278,137,10569,137,398,2573,-66,7527,-471,1852,-278,9901,0,9285,616,22276,22166,104
1989:Q2,5,12,22870,-92,295,261,33,10687,33,607,6008,-64,4103,-14,3526,-2,8176,0,6990,1186,22877,22724,146
1989:Q3,6,13,23360,-295,432,159,173,5241,173,1534,3465,-67,136,177,3501,41,13931,0,12650,1281,23367,23283,77
1989:Q4,6,13,24040,-127,210,296,-823,4736,-823,-802,3810,-68,2619,4,5170,-321,14895,0,13826,1069,24047,23842,198
1990:Q1,6,15,24544,619,-581,244,266,16475,266,10368,3011,211,2619,-118,-1161,-98,8898,0,8558,340,24553,24350,194
1990:Q2,6,15,25081,528,-526,-20,1441,7235,1441,5537,1871,7,-1621,62,4553,977,10831,0,9611,1220,25090,24889,192
1990:Q3,7,15,25586,398,-151,123,410,2422,410,1846,5170,-241,-4763,68,7305,-832,15843,0,16047,-204,25594,25429,157
1990:Q4,7,15,26236,258,-101,190,413,-6371,413,-1912,1596,228,-6696,750,11832,730,18535,0,18329,206,26244,25968,268
1991:Q1,7,16,26495,-608,6957,-569,1552,4587,1552,8909,84,-109,-5849,501,8766,1599,3710,0,7631,-3921,26503,26922,-427
1991:Q2,7,15,27911,274,-2428,78,2730,3934,2730,1609,1716,123,-2244,-240,5575,948,17040,0,16187,853,27919,27627,284
1991:Q3,7,15,28570,-1602,-2328,261,4355,-2921,4355,-14805,-100,62,7567,353,10076,1830,18546,0,18277,269,28577,28332,238
1991:Q4,7,15,29394,769,-1074,22,-2002,-3798,-2002,1546,-6513,70,3101,211,14670,1462,19134,0,19545,-411,29401,29037,357
1992:Q1,8,18,30158,153,-422,-5,431,9688,431,6410,-2630,-65,5542,-713,2108,1245,17673,0,17556,117,30168,30051,107
1992:Q2,8,18,31183,475,-48,22,1386,5218,1386,6055,-6172,-20,3969,893,5224,1507,16506,0,16503,3,31194,30879,304
1992:Q3,8,18,31937,1974,-448,139,2888,16400,2888,19718,-1200,-156,-4850,-760,656,397,10691,0,11395,-704,31947,31710,227
1992:Q4,8,19,33018,106,-968,85,1107,6266,1107,5857,-8275,67,7510,147,5860,2146,18269,0,17762,507,33029,32539,479
1993:Q1,9,22,32343,-679,649,397,539,-1236,539,1416,-7021,15,3815,-808,15645,1509,16327,0,16234,93,32356,32000,343
1993:Q2,9,22,32608,293,1010,343,1125,11732,1125,6428,-662,157,4684,-1139,-682,1645,18281,0,18193,88,32621,32283,325
1993:Q3,9,22,31398,-669,-47,67,-6457,17073,-6457,10455,2071,605,10399,549,6218,605,14059,0,14482,-423,31411,32566,-1168
1993:Q4,9,23,33274,1159,-2324,305,562,1212,562,-4383,1647,149,3237,-526,12074,2143,18669,0,18862,-193,33289,32847,427
1994:Q1,8,16,33692,-1143,-361,422,-50,5334,-50,6885,4792,-655,-5638,108,6453,1305,21624,0,21911,-287,33701,33424,268
1994:Q2,8,17,33901,318,-349,296,2510,-494,2510,-3694,4426,129,-3865,304,8276,1344,21696,0,21444,252,33910,33822,79
1994:Q3,8,18,34873,1343,-2884,57,2184,654,2184,-3271,-6624,259,8106,83,2192,2775,28469,0,27912,557,34882,34220,653
1994:Q4,8,18,34926,-400,-153,188,2732,3928,2732,-1816,1482,8,1522,175,9146,14885,4425,0,4469,-44,34935,34619,307
1995:Q1,8,18,35350,-1598,53,201,1694,20412,1694,9419,4793,-59,4565,198,-4550,4028,14912,0,15272,-360,35360,35092,258
1995:Q2,8,19,33824,-452,58,446,1738,1377,1738,-7752,3402,78,3911,161,6159,1402,22935,0,22581,354,33834,35521,-1697
1995:Q3,8,19,36388,458,1615,183,-1874,2225,-1874,-5939,8125,243,1670,188,8550,2260,22783,0,22530,253,36399,35949,439
1995:Q4,8,20,37150,-938,255,282,2094,6345,2094,-3088,6926,456,-43,192,8006,2634,18280,0,18313,-33,37161,36378,772
1996:Q1,9,18,37600,565,505,465,-5049,15176,-5049,5334,6113,441,8337,188,-2022,171,27601,0,27246,355,37610,37069,531
1996:Q2,9,18,38018,1111,-1098,254,1751,14195,1751,7539,983,-974,4896,198,-2249,447,23409,0,23127,282,38028,37603,415
1996:Q3,9,19,38151,1303,-1597,507,-606,-11578,-606,-7628,-5177,-801,2634,202,22989,286,26645,0,26815,-170,38161,38136,15
1996:Q4,9,20,39511,280,19,781,649,9964,649,-648,3585,65,6313,208,-555,2809,25356,0,25105,251,39522,38668,843
1997:Q1,9,20,46773,-2113,2728,1121,-827,19531,-827,-1653,10141,1490,10380,212,647,4725,20749,2699,18633,-583,46785,38907,7866
1997:Q2,9,20,45795,3467,-2719,663,4838,16517,4838,3769,35,8,7867,214,-4552,4716,22651,5770,16644,237,45807,39323,6472
1997:Q3,10,21,44527,-2315,521,1416,-85,15387,-84,8624,2810,408,3629,222,5170,2465,21746,4364,17224,158,44538,39739,4788
1997:Q4,10,21,49413,-1191,-403,142,-3532,7611,-3533,-4534,5398,-964,11244,225,8174,7932,30455,2912,27296,247,49425,40154,9259
1998:Q1,10,23,47307,1352,-767,422,8311,15283,8311,-6851,3110,577,10136,1066,-13948,5425,30163,6028,23948,187,47320,40885,6422
1998:Q2,10,24,48888,944,-32,459,-1088,17588,-1088,1064,7925,147,9540,2008,-7791,3729,33071,3273,29647,151,48902,41426,7462
1998:Q3,10,24,52839,139,96,772,2470,14193,2470,-5387,6779,-76,10407,818,-4606,10346,28611,-466,29190,-113,52853,41968,10871
1998:Q4,10,25,48440,2224,266,577,-777,11333,-777,4753,1284,1101,4972,911,-1805,4457,31254,7968,23277,9,48455,42509,5931
1999:Q1,11,25,51947,-2373,186,1050,3505,18059,3505,-1113,7002,1284,7381,383,-12165,10150,33152,2005,30701,446,51961,43190,8757
